parent_sku,child_sku,"Output Wattage Options"
TF-MTIM,TF-MTIM-60L24DC,"60 Watts"
TF-MTIM,TF-MTIM-100L24DC,"100 Watts"
TF-MTIM,TF-MTIM-150L24DC,"150 Watts"
MI-X277,MI-X277-500SOD,"500 Watts"
MI-X277,MI-X277-600SOD,"600 Watts"
MI-XSOD,MI-XSOD-500,"500 Watts"
MI-XSOD,MI-XSOD-600,"600 Watts"
MI-XSOD,MI-XSOD-1000,"1\,000 Watts"
MI-XSOD,MI-XSOD-1200,"1\,200 Watts"
MI-ML12DC,MI-ML12DC-20-AR,"20 Watts"
MI-ML12DC,MI-ML12DC-40-AR,"40 Watts"
MI-ML12DC,MI-ML12DC-60-AR,"60 Watts"
MI-ML12DC,MI-ML12DC-100-AR,"100 Watts"
MI-ML12DC,MI-ML12DC-150-AR,"150 Watts"
