parent_sku,child_sku,"Square Trim Ring Options"
PI-PT-DLSM-S-5I-10W-3CCT,PI-PT-DLSM-S-5I-10W-3CCT-TRS-SM-BK,Black
PI-PT-DLSM-S-5I-10W-3CCT,PI-PT-DLSM-S-5I-10W-3CCT-TRS-SM-BZ,Bronze
PI-PT-DLSM-S-5I-10W-3CCT,PI-PT-DLSM-S-5I-10W-3CCT-TRS-SM-BN,"Brush Nickel"
PI-PT-DLSM-S-7I-15W-3CCT,PI-PT-DLSM-S-7I-15W-3CCT-TRS-SM-BK,Black
PI-PT-DLSM-S-7I-15W-3CCT,PI-PT-DLSM-S-7I-15W-3CCT-TRS-SM-BZ,Bronze
PI-PT-DLSM-S-7I-15W-3CCT,PI-PT-DLSM-S-7I-15W-3CCT-TRS-SM-BN,"Brush Nickel"
PI-PT-DLSM-S-9I-18W-3CCT,PI-PT-DLSM-S-9I-18W-3CCT-BK,Black
PI-PT-DLSM-S-9I-18W-3CCT,PI-PT-DLSM-S-9I-18W-3CCT-BZ,Bronze
PI-PT-DLSM-S-9I-18W-3CCT,PI-PT-DLSM-S-9I-18W-3CCT-BN,"Brush Nickel"
PI-PT-DLSM-S-5I-10W-3CCT,PI-PT-DLSM-S-5I-10W-3CCT-TRS-SM-BK,Black
PI-PT-DLSM-S-5I-10W-3CCT,PI-PT-DLSM-S-5I-10W-3CCT-TRS-SM-BZ,Bronze
PI-PT-DLSM-S-5I-10W-3CCT,PI-PT-DLSM-S-5I-10W-3CCT-TRS-SM-BN,"Brush Nickel"
PI-PT-DLSM-S-7I-15W-3CCT,PI-PT-DLSM-S-7I-15W-3CCT-TRS-SM-BK,Black
PI-PT-DLSM-S-7I-15W-3CCT,PI-PT-DLSM-S-7I-15W-3CCT-TRS-SM-BZ,Bronze
PI-PT-DLSM-S-7I-15W-3CCT,PI-PT-DLSM-S-7I-15W-3CCT-TRS-SM-BN,"Brush Nickel"
PI-PT-DLSM-S-9I-18W-3CCT,PI-PT-DLSM-S-9I-18W-3CCT-BK,Black
PI-PT-DLSM-S-9I-18W-3CCT,PI-PT-DLSM-S-9I-18W-3CCT-BZ,Bronze
PI-PT-DLSM-S-9I-18W-3CCT,PI-PT-DLSM-S-9I-18W-3CCT-BN,"Brush Nickel"
