parent_sku,child_sku,"Voltage Options"
DG-AL35QF1X126,DG-AL35QF1X126-U-HACZ,120-277v
DG-AL35QF1X126,DG-AL35QF1X126-H-HACZ,347-480v
DG-LACCORDQF1X58,DG-LACCORDQF1X58-U5KZ,120-277v
DG-LACCORDQF1X58,DG-LACCORDQF1X58-H5KZ,347-480v
DG-BRAVOQF1X33,DG-BRAVOQF1X33-U5KZ,120-277v
DG-BRAVOQF1X33,DG-BRAVOQF1X33-H5KZ,347-480v
PI-PT-AL1-300W-50F,PI-PT-AL1-300W-50F-LVSG-W,100-277V
PI-PT-AL1-300W-50F,PI-PT-AL1-300W-50F-LVSG-W-480V,347-480V
PI-PT-AL1-100W-50F-W,PI-PT-AL1-100W-50F-LVSG-W,100-277V
PI-PT-AL1-100W-50F-W,PI-PT-AL1-100W-50F-LVSG-480V-W,347-480V
PI-PT-AL1-100W-50F,PI-PT-AL1-100W-50F-LVSG,100-277V
PI-PT-AL1-100W-50F,PI-PT-AL1-100W-50F-LVSG-480V,347-480V
ILP-H3-10T8,ILP-H3-10T8-UH,"120-277 T8 HBF"
ILP-H3-10T8,ILP-H3-10T8-PSH,"Program Start T8 HBF"
ILP-H3-8T8,ILP-H3-8T8-UH,"120-277 T8 HBF"
ILP-H3-8T8,ILP-H3-8T8-PSH,"Program Start T8 HBF"
ILP-H3-6T8,ILP-H3-6T8-UH,"120-277 T8 HBF"
ILP-H3-6T8,ILP-H3-6T8-PSH,"Program Start T8 HBF"
ILP-H3-4T8,ILP-H3-4T8-UH,"120-277 T8 HBF"
ILP-H3-4T8,ILP-H3-4T8-PSH,"Program Start T8 HBF"
ILP-H3-3T8,ILP-H3-3T8-UH,"120-277 T8 HBF"
ILP-H3-3T8,ILP-H3-3T8-PSH,"Program Start T8 HBF"
DG-TV2C32X10,DG-TV2C32X10-U41KZKN,120-277v
DG-TV2C32X10,DG-TV2C32X10-H41KZKN,347-480v
DG-TV2C32X10,DG-TV2C32X10-C41KZKN,"347v (40w Only)"
