parent_sku,child_sku,"Wattage & Lumen Options"
LT-ARFK6-UZTD,LT-ARFK6-UZTD-14W,"14 System Watts\, 947 Delivered Lumens"
LT-ARFK6-UZTD,LT-ARFK6-UZTD-23W,"23 System Watts\, 1573 Delivered Lumens"
LT-ARFK6-UZTD,LT-ARFK6-UZTD-30W,"30 System Watts\, 2078 Delivered Lumens"
LT-ARFK6-UZTD,LT-ARFK6-UZTD-45W,"45 System Watts\, 2886 Delivered Lumens"
LT-ARFK8-UTD,LT-ARFK8-UTD-14W,"14 System Watts\, 947 Delivered Lumens"
LT-ARFK8-UTD,LT-ARFK8-UTD-23W,"23 System Watts\, 1573 Delivered Lumens"
LT-ARFK8-UTD,LT-ARFK8-UTD-30W,"30 System Watts\, 2078 Delivered Lumens"
LT-ARFK8-UTD,LT-ARFK8-UTD-45W,"45 System Watts\, 3340 Delivered Lumens"
BL-CPLED,BL-CPLED-45W-5K-MV-TH,"45 Watts / 4\,948 Lumens"
BL-CPLED,BL-CPLED-80W-5K-MV-TH,"80 Watts / 9\,548 Lumens"
EE-LHB2,EE-LHB2-90W-850-F-XE-G3-ECO,"90 Watts / 11\,790 Lumens"
EE-LHB2,EE-LHB2-135W-850-F-XE-G3-ECO,"135 Watts / 11\,685 Lumens"
EE-LHB2,EE-LHB2-162W-850-F-XE-G3-ECO,"162 Watts / 21\,222 Lumens"
EE-LHB2,EE-LHB2-178W-850-F-XE-G3-ECO,"178 Watts / 23\,318 Lumens"
EE-LHB2,EE-LHB2-215W-850-F-XE-G3-ECO,"215 Watts / 28\,165 Lumens"
NL-AST-GS02,NL-AST-GS02-100W-40K,"100 Watts / 13\,000 Lumens"
NL-AST-GS02,NL-AST-GS02-150W-40K,"150 Watts / 19\,500 Lumens"
ELI-E3SBH,ELI-E3SBH-100L3-750,"100 Watts / 15\,218 Lumens"
ELI-E3SBH,ELI-E3SBH-150L3-750,"150 Watts / 22\,245 Lumens"
ELI-E3SBH,ELI-E3SBH-240L3-750,"240 Watts / 36\,459 Lumens"
ELI-E3SBH,ELI-E3SBH-300L3-750,"300 Watts / 45\,601 Lumens"
ELI-E3SBH,ELI-E3SBH-350L3-750,"350 Watts / 49\,962 Lumens"
HL-XAL,HL-XAL-5080-LED-MV,"80 Watts / 9\,600 Lumens"
HL-XAL,HL-XAL-5220-LED-MV,"220 Watts / 27\,100 Lumens"
HL-MLWP,HL-MLWP-5033-MV,"33 Watts / 2\,240 Lumens"
HL-MLWP,HL-MLWP-5046-MV,"46 Watts / 3\,450 Lumens"
HL-LWP,HL-LWP-5075-LED-MV,"80 Watts / 9\,400 Lumens"
HL-LWP,HL-LWP-5090-LED-MV,"95 Watts / 12\,000 Lumens"
HL-LEDMR,HL-LEDMR-4040-MV,"40 Watts / 5\,000 Lumens"
HL-LEDMR,HL-LEDMR-4050-MV,"50 Watts / 6\,250 Lumens"
ELI-E2HBDH,ELI-E2HBDH-110-850,"110 Watts / 14410 Lumens"
ELI-E2HBDH,ELI-E2HBDH-165-850,"165 Watts / 21222 Lumens"
ELI-E2HBDH,ELI-E2HBDH-225-850,"225 Watts / 29213 Lumens"
ELI-E2HBDH,ELI-E2HBDH-325-850,"325 Watts / 42051 Lumens"
HU-S44M,HU-S44M-240-T-D,"213 Watts\, 33700 Lumens"
HU-S44M,HU-S44M-320-T-D,"291 Watts\, 43800 Lumens"
ELI-E1AFL,ELI-E1AFL50D-750,"50 Watts / 6\,430 Lumens"
ELI-E1AFL,ELI-E1AFL75D-750,"76 Watts / 9\,670 Lumens"
ELI-E1AFL,ELI-E1AFL100D-750,"101 Watts / 12\,770 Lumens"
