parent_sku,child_sku,"[RB]Color Temperature (CCT)"
TPZ-LBR40/13,TPZ-LBR40/13-927/D-46,2700K
TPZ-LBR40/13,TPZ-LBR40/13-930/D-46,3000K
TPZ-LBR40/13,TPZ-LBR40/13-940/D-46,4000K
TPZ-LBR40/13,TPZ-LBR40/13-950/D-46,5000K
GC-2.5MR11,GC-2.5MR11-827FL35-CASE10,2700K
GC-2.5MR11,GC-2.5MR11-840FL35-CASE10,4000K
GC-22T5HO,GC-22T5HO-30,3000K
GC-22T5HO,GC-22T5HO-35,3500K
GC-22T5HO,GC-22T5HO-40,4000K
GC-22T5HO,GC-22T5HO-50,5000K
GC-7PLO,GC-7PLO-827/HYBM-CASE10,2700K
GC-7PLO,GC-7PLO-830/HYBM-CASE10,3000K
GC-7PLO,GC-7PLO-835/HYBM-CASE10,3500K
GC-7PLO,GC-7PLO-840/HYBM-CASE10,4000K
TPZ-LBR40/13,TPZ-LBR40/13-927/D-46,2700K
TPZ-LBR40/13,TPZ-LBR40/13-930/D-46,3000K
TPZ-LBR40/13,TPZ-LBR40/13-940/D-46,4000K
TPZ-LBR40/13,TPZ-LBR40/13-950/D-46,5000K
GC-2.5MR11,GC-2.5MR11-827FL35-CASE10,2700K
GC-2.5MR11,GC-2.5MR11-840FL35-CASE10,4000K
GC-22T5HO,GC-22T5HO-30,3000K
GC-22T5HO,GC-22T5HO-35,3500K
GC-22T5HO,GC-22T5HO-40,4000K
GC-22T5HO,GC-22T5HO-50,5000K
GC-7PLO,GC-7PLO-827/HYBM-CASE10,2700K
GC-7PLO,GC-7PLO-830/HYBM-CASE10,3000K
GC-7PLO,GC-7PLO-835/HYBM-CASE10,3500K
GC-7PLO,GC-7PLO-840/HYBM-CASE10,4000K
EE-TLP-2x4-34W,EE-TLP-2x4-34W-840,"4000K (Standard)"
EE-TLP-2x4-34W,EE-TLP-2x4-34W-850,5000K
TL-LHB-2-111W,TL-LHB-2-111W-40K,4000K
TL-LHB-2-111W,TL-LHB-2-111W-50K,5000K
WM-LWA-12,WM-LWA-12WW-WH,3000K
WM-LWA-12,WM-LWA-12CW-WH,5000K
WM-ULR-IN-16F-HO,WM-ULR-IN-16F-HO-27K,2700K
WM-ULR-IN-16F-HO,WM-ULR-IN-16F-HO-30K,3000K
WM-ULR-IN-16F-HO,WM-ULR-IN-16F-HO-40K,4000K
WM-ULR-IN-16F-HO,WM-ULR-IN-16F-HO-50K,5000K
