parent_sku,child_sku,Color
SP-DC618D,SP-DC618D-3000K,3000K
SP-DC618D,SP-DC618D-4000K,4000K
LLL-LRG6-DTW,LLL-LRG6-32K-WH-DTW,White
LLL-LRG6-DTW,LLL-LRG6-32K-BK-DTW,Black
LLL-LRG6-HO-DTW,LLL-LRG6-32K-HO-WH-DTW,White
LLL-LRG6-HO-DTW,LLL-LRG6-32K-HO-BK-DTW,Black
LLL-LL4G-5CCT-HO,LLL-LL4G-5CCT-HO-WH,White
LLL-LL4G-5CCT-HO,LLL-LL4G-5CCT-HO-BK,Black
LLL-LL4G-5CCT-HO,LLL-LL4G-5CCT-HO-BN,"Brushed Nickel"
LLL-LRG4-5CCT,LLL-LRG4-5CCT-WH,White
LLL-LRG4-5CCT,LLL-LRG4-5CCT-BK,Black
LLL-LRG4-5CCT-HO,LLL-LRG4-5CCT-HO-WH,White
LLL-LRG4-5CCT-HO,LLL-LRG4-5CCT-HO-BL,Black
LLL-LRG6-5CCT,LLL-LRG6-5CCT-WH,White
LLL-LRG6-5CCT,LLL-LRG6-5CCT-BK,Black
