parent_sku,child_sku,"Wattage Options"
TL-TECBTA-22,TL-TECBTA-22-20W-50KD1WJ,"20 Watts"
TL-TECBTA-22,TL-TECBTA-22-40W-50KD1WJ,"40 Watts"
TF-128A24L,TF-128A24L-J35W4600LDMV40K,"35 Watts"
TF-128A24L,TF-128A24L-J48W6300LDMV40K,"48 Watts"
TF-128A24L,TF-128A24L-J57W7100LDMV40K,"57 Watts"
TF-128A14L,TF-128A14L-J35W3450LDMV40K,"35 Watts"
TF-128A14L,TF-128A14L-J48W4800LDMV40K,"48 Watts"
TF-SKDWBFR96L,TF-SKDWBFR96L-J80W8000LDMV40KWH,"80 Watts"
TF-SKDWBFR96L,TF-SKDWBFR96L-Z114W10800LDMV40KWH,"114 Watts"
TF-BKAMW48L,TF-BKAMW48L-S48W4500LDMV40K,"48 Watts"
TF-BKAMW48L,TF-BKAMW48L-S57W5100LDMV40K,"57 Watts"
TF-BKSMW48L,TF-BKSMW48L-S24W2200LDMV40K,"24 Watts"
TF-BKSMW48L,TF-BKSMW48L-H40W3600LDMV40K,"40 Watts"
TF-CIRDC14L,TF-CIRDC14L-14W1350LD12030K,"14 Watts"
TF-CIRDC14L,TF-CIRDC14L-23W1850LD12030K,"23 Watts"
AEL-LRKT240,AEL-LRKT240-SM,"32 Watts"
AEL-LRKT240,AEL-LRKT240-MM,"40 Watts"
AEL-AE47,AEL-AE47-940,"13 Watts"
AEL-AE47,AEL-AE47-1540,"22 Watts"
AEL-AE47,AEL-AE47-1940,"32 Watts"
TL-SPL1R6,TL-SPL1R6-12W-5CCT,"12 Watts"
TL-SPL1R6,TL-SPL1R6-14W-5CCT,"14 Watts"
RP-4433,RP-4433OB-15-4K,"15 Watts"
RP-4433,RP-4433OB-25-4K,"25 Watts"
ETH-HBE-2,ETH-HBE-2-90W,"90 Watts"
ETH-HBE-2,ETH-HBE-2-110W,"110 Watts"
ETH-HBE-2,ETH-HBE-2-162W,"162 Watts"
RP-4117-1-WH,RP-4117-1-WH-35-4K,"35 Watts"
RP-4117-1-WH,RP-4117-1-WH-50-4K,"50 Watts"
TF-DXR,TF-DXR-125,"50 watt / 12 Volt Heavy"
TF-DXR,TF-DXR-610,"100 watt / 6 Volt Heavy"
TF-SFL10L,TF-SFL10L-50W5562LMV50KBZ,"50 Watts"
TF-SFL10L,TF-SFL10L-75W8645LMV50KBZ,"75 Watts"
TF-PLF12L,TF-PLF12L-70W9000LDMV50K,"70 Watts"
TF-PLF12L,TF-PLF12L-105W13400LDMV50K,"105 Watts"
TF-DCC150S,TF-DCC150SR45W4900LMV50K-45,"45 Watts"
TF-DCC150S,TF-DCC150SR70W7500LMV50K,"70 Watts"
TF-DC056L,TF-DC056L-17W2000LMV50K,"17 Watts"
TF-DC056L,TF-DC056L-25W2700LMV50K,"25 Watts"
TF-DC150SR,TF-DC150SR-45W4900LMV50K,"45 Watts"
TF-DC150SR,TF-DC150SR-70W7900LMV50K,"70 Watts"
TF-F1010CLAC10L,TF-F1010CLAC10L-14W1400LD12040K,"14 Watts"
TF-F1010CLAC10L,TF-F1010CLAC10L-23W1900LD12040K,"23 Watts"
TF-FSFFR96L,TF-FSFFR96L-J62W6600LDMV40KWH,"62 Wattts"
TF-FSFFR96L,TF-FSFFR96L-Z114W12600LDMV40KWH,"114 Watts"
TF-FSFFR48L,TF-FSFFR48L-J31W3400LDMV40KWH,"31 Watts"
TF-FSFFR48L,TF-FSFFR48L-Z57W6300LDMV40KWH,"57 Watts"
TF-159A48L,TF-159A48L-S48W3900LDMV40K,"48 Watts"
TF-159A48L,TF-159A48L-S62W4700LDMV40K,"62 Watts"
TF-159A24L,TF-159A24L-S24W1900LDMV40K,"24 Watts"
TF-159A24L,TF-159A24L-S31W2300LDMV40K,"31 Watts"
TF-RRS96LE,TF-RRS96LE-57W8000LDMV40K,"57 Watts"
TF-RRS96LE,TF-RRS96LE-96W12000LDMV40K,"96 Watts"
TF-RRS96LE,TF-RRS96LE-114W13800LDMV40K,"114 Watts"
RP-8130HIC-DM7,RP-8130HIC-DM7-18,18W
RP-8130HIC-DM7,RP-8130HIC-DM7-26,26W
RP-8140H-DM7,RP-8140H-DM7-218,2x18W
RP-8140H-DM7,RP-8140H-DM7-226,2x26W
RP-8140H-DM7,RP-8140H-DM7-242,2x42W
RP-8116HIC,RP-8116HIC-15,"15 Watts"
RP-8116HIC,RP-8116HIC-20,"23 Watts"
RP-8572WH,RP-8572WH-15-3K,"15 Watts"
RP-8572WH,RP-8572WH-20-3K,"20 Watts"
FL-WSD-CP,FL-WSD-CP-95W-50K,"95 Watts"
FL-WSD-CP,FL-WSD-CP-12W-50K,"120 Watts"
FL-WSD-CP,FL-WSD-CP-15W-50K,"150 Watts"
FL-WSD-CP,FL-WSD-CP-20W-50K,"200 Watts"
FL-E2-RWP-,FL-E2-RWP-60WA1,"60 Watts"
FL-E2-RWP-,FL-E2-RWP-80WA1,"80 Watts"
FL-E2-RWP,FL-E2-RWP-25WA1,"25 Watts"
FL-E2-RWP,FL-E2-RWP-40WA1,"40 Watts"
FL-WSD-CP,FL-WSD-CP-95W-50K,"95 Watts"
FL-WSD-CP,FL-WSD-CP-12W-50K,"120 Watts"
FL-WSD-CP,FL-WSD-CP-15W-50K,"150 Watts"
FL-WSD-CP,FL-WSD-CP-20W-50K,"200 Watts"
FL-E2-RWP-,FL-E2-RWP-60WA1,"60 Watts"
FL-E2-RWP-,FL-E2-RWP-80WA1,"80 Watts"
FL-E2-RWP,FL-E2-RWP-25WA1,"25 Watts"
FL-E2-RWP,FL-E2-RWP-40WA1,"40 Watts"
