item_type,Product_id,Product_sku
Product,2548,TF-ECLMW248L
Product,2568,DG-AFR32Q
Product,2579,DG-AFR31Q
Product,2690,DG-FTRBQ
Product,2711,DG-AFS30Q
Product,2866,DG-AFS32Q
Product,2913,DG-AFR30Q
Product,2920,DG-AFS31Q
Product,2962,DG-SBQ
Product,3024,TF-VAN24L
Product,3025,TF-VAN48L
Product,3101,DG-PB2D
Product,3103,DG-PB2S
Product,3106,DG-AS301Q
Product,3168,LT-LEDH-SR5P-UTD
Product,3173,DG-AFRC30Q
Product,3184,DG-PF71Q
Product,3187,LT-LEDH-SR8P-UTD
Product,3199,LT-LEDH-SR8C-UZTD
Product,3203,LT-LEDH-SR8W-UZTD
Product,3205,DG-WPR25OFQ
Product,3206,LT-LEDH-SR8P-UZTD
Product,3208,DG-WPR25HCQ
Product,3209,DG-WPR25GRQ
Product,3210,DG-B2Q
Product,3215,DG-B1Q
Product,3245,LT-LEDMCL-1LM
Product,3251,LT-LEDMCL-2LM
Product,3252,LT-LEDMCL-3LM
Product,3253,LT-LEDMCL-4LM
Product,3255,LT-LEDMCL-1LM-Trimless
Product,3256,LT-LEDMCL-2LM-Trimless
Product,3280,LT-LEDMCL-3LM-Trimless
Product,3311,LT-LEDMCL-4LM-Trimless
Product,3836,LT-LEDH-SR6P-UTD
Product,3975,AEL-LTRB4
Product,4268,LT-WCED-3DP
Product,4296,LT-WCED-3DP-S
Product,4331,LT-WCED-4DP
Product,4372,LT-WCED-4DP-S
Product,4413,LT-WCED-4SDP-S
Product,4453,LT-WCED-4SDP
Product,4510,LT-LEDH-SR5P-UZTD
Product,5304,HLM-H-QSN161
Product,5349,HLM-H-QSN15
Product,5685,LT-LEDH-SR5P-S-UTD
Product,5703,LT-LEDH-SR5P-S-UZTD
Product,5724,LT-LEDH-SR5P
Product,5741,LT-LEDH-SR5P-C-UZTD
Product,5743,LT-LEDH-SR6C-UZTD
Product,5744,LT-LEDH-SR6W-UZTD
Product,5746,LT-LEDH-SR6P-UZTD
Product,5756,LT-LEDH-SR6P-S-UTD
Product,5801,LT-LEDH-SR6P-S-UZTD
Product,5820,LT-LEDH-SR6P-C-UTD
Product,5882,LT-LEDH-SR6P-C-UZTD
Product,5936,LT-LEDH-SR8P-S-UTD
Product,5983,LT-LEDH-SR8P-S-UZTD
Product,6018,LT-LEDH-SR8P-C-UTD
Product,6036,LT-LEDH-SR8P-C-UZTD
Product,6130,DG-AD25QI1X78
Product,6306,DG-WPS25OFQ
Product,6307,DG-WPS25HCQ
Product,6308,DG-WPS25GRQ
Product,6327,DG-SBPBCLQ
Product,6328,DG-SB5QF1X15
Product,6329,DG-SB3QF1X15
Product,6330,DG-FTRBPBCLQ
Product,6332,DG-FTRB5QF1X15
Product,6350,DG-ST35Q
Product,7074,MX-AR-MAL
Product,7859,LT-STS-2310
Product,7904,LT-STS-2330
Product,9034,LT-ICED9535
Product,9250,MAG-HG-SL
Product,9356,MAG-VPL-WPA
Product,9516,LT-ICED-9521
Product,9546,LT-ICED-9521S
Product,9850,DG-KH25Q
Product,9899,DG-KH45Q
Product,9922,DG-KH55Q
Product,10656,LT-STS-2370
Product,10657,LT-STS-2380
Product,10842,TF-153A424MV
Product,10879,TF-PLY23PFR-FAN
Product,10987,EX-EXAL
Product,11215,EX-WPG-40W
Product,11226,EX-CPS-28W-G
Product,11240,EX-CPS-40W-G
Product,11241,EX-CPS-70W-G
Product,11246,EX-WPC-80W
Product,11247,EX-WPG-60W
