ITEMNO.,UPC,WATTS,LUMENS,COLOR TEMP,"NON STOCKING DIST.
OR ANY QUANTITY","STOCKING DIST.
OR
$2500 MIN.","WIP
OR
$5000 MIN.","MSRP
PRICE","IMAP
PRICE"
LWA-12CW,845060001822,12W,1200LM,5000K,40.98,36.94,33.90,58.78,52.74
LWA-12WW,845060001815,12W,1100LM,3000K,40.98,36.94,33.90,58.78,52.74
LWA-20NW,845060025941,20W,2200LM,4000K,64.98,57.94,52.90,92.78,81.74
LWA-80NW,845060025934,80W,9000LM,4000K,154.98,140.94,127.90,223.78,198.74
LWA-80WW,845060001877,80W,8800LM,3000K,154.98,140.94,127.90,223.78,198.74
LWA-120NW,845060025897,120W,13700LM,4000K,181.98,164.94,149.90,261.78,232.74
LWA-120WW,845060001891,120W,13700LM,3000K,181.98,164.94,149.90,261.78,232.74
LWA-12CW-WH,845060003925,12W,1200LM,5000K,68.98,59.94,52.90,95.78,84.74
LWA-12WW-WH,845060003932,12W,1100LM,3000K,68.98,59.94,52.90,95.78,84.74
LWA-20CW-WH,845060004359,20W,2200LM,5000K,77.98,75.94,65.90,120.78,106.74
LWA-20WW-WH,845060004366,20W,2000LM,3000K,77.98,75.94,65.90,120.78,106.74
LWA-30CW-WH,845060003949,30W,3200LM,5000K,84.98,78.94,68.90,125.78,111.74
LWA-30WW-WH,845060003956,30W,3000LM,3000K,84.98,78.94,68.90,125.78,111.74
LWA-50CW-WH,845060003963,50W,5200LM,5000K,175.98,134.94,109.90,214.78,189.74
LWA-50WW-WH,845060003970,50W,4900LM,3000K,175.98,134.94,109.90,214.78,189.74
LWA-SH1,845060015973,N/A,N/A,N/A,11.70,11.70,11.70,18.78,16.74
LWA-SH2,845060015980,N/A,N/A,N/A,17.23,17.23,17.23,27.78,24.74
LWA-SH3,845060015997,N/A,N/A,N/A,22.98,22.98,22.98,36.78,32.74
LWP2-80CW,845060002522,80W,9000LM,5000K,173.98,144.94,119.90,230.78,204.74
LWP2-80NW,845060029710,80W,9000LM,4000K,173.98,144.94,119.90,230.78,204.74
LW360-25W-30K,845060042467,25W,3375LM,3000K,80.98,72.94,72.94,115.78,102.74
LW360-25W-50K,845060041699,25W,3375LM,5000K,80.98,72.94,72.94,115.78,102.74
LW360-40W-30K,845060035025,40W,5400LM,3000K,84.98,82.94,82.94,131.78,116.74
LW360-40W-50K,845060036961,40W,5400LM,5000K,84.98,82.94,82.94,131.78,116.74
LW360-60W-30K,845060044799,60W,8100LM,3000K,146.98,135.94,135.94,215.78,191.74
LW360-60W-40K,845060029673,60W,8100LM,4000K,146.98,135.94,135.94,215.78,191.74
LW360-60W-50K,845060044782,60W,8100LM,5000K,146.98,135.94,135.94,215.78,191.74
LW360-80W-30K,845060033915,80W,10800LM,3000K,166.98,142.94,142.94,226.78,201.74
LW360-80W-40K,845060029680,80W,10800LM,4000K,166.98,142.94,142.94,226.78,201.74
LW360-80W-50K,845060042368,80W,10800LM,5000K,166.98,142.94,142.94,226.78,201.74
LW360-25W-30K-WH,845060015898,25W,3375LM,3000K,80.98,72.94,72.94,115.78,102.74
LW360-25W-50K-WH,845060015904,25W,3375LM,5000K,80.98,72.94,72.94,115.78,102.74
LW360-40W-30K-WH,845060015911,40W,5400LM,3000K,84.98,82.94,82.94,131.78,116.74
LW360-40W-50K-WH,845060015928,40W,5400LM,5000K,84.98,82.94,82.94,131.78,116.74
LW360-SH1,845060047172,N/A,N/A,N/A,17.23,17.23,17.23,27.78,24.74
WML2-28W-50K-HL-SM,845060010572,28W,3780LM,5000K,86.98,72.94,65.90,115.78,102.74
WML2-28W-40K-HL-SM,845060010589,28W,3640LM,4000K,86.98,72.94,65.90,115.78,102.74
WML2-28W-30K-HL-SM,845060010596,28W,3500LM,3000K,86.98,72.94,65.90,115.78,102.74
WML2-50W-50K-SM,845060010602,50W,6000LM,5000K,106.98,82.94,72.90,131.78,116.74
WML2-50W-40K-SM,845060010619,50W,5750LM,4000K,106.98,82.94,72.90,131.78,116.74
WML2-50W-30K-SM,845060010626,50W,5500LM,3000K,106.98,82.94,72.90,131.78,116.74
WML2-50W-50K-HL,845060010633,48W,6480LM,5000K,169.98,121.94,102.90,193.78,171.74
WML2-50W-40K-HL,845060010640,48W,6240LM,4000K,169.98,121.94,102.90,193.78,171.74
WML2-50W-30K-HL,845060010657,48W,6000LM,3000K,169.98,121.94,102.90,193.78,171.74
WML2-80W-50K-HL,845060010664,80W,10530LM,5000K,188.98,135.94,111.90,215.78,191.74
WML2-80W-40K-HL,845060010671,80W,10140LM,4000K,188.98,135.94,111.90,215.78,191.74
WML2-80W-30K-HL,845060010688,80W,9750LM,3000K,188.98,135.94,111.90,215.78,191.74
WML2-120W-50K-HL-LG,845060010695,120W,16200LM,5000K,245.98,212.94,185.90,338.78,299.74
WML2-120W-40K-HL-LG,845060010701,120W,15600LM,4000K,245.98,212.94,185.90,338.78,299.74
WML2-120W-30K-HL-LG,845060010718,120W,15000LM,3000K,245.98,212.94,185.90,338.78,299.74
WML2-150W-50K-LG,845060010725,150W,19200LM,5000K,280.98,244.94,196.90,388.78,344.74
WML2-150W-40K-LG,845060010732,150W,18450LM,4000K,280.98,244.94,196.90,388.78,344.74
WML2-150W-30K-LG,845060010749,150W,17700LM,3000K,280.98,244.94,196.90,388.78,344.74
WMX-MCTP-D,845060052596,80W Max,9000LM Max,3000K~5700K,129.98,117.94,106.90,187.78,163.74
WMX-MCTP-D-WH,845060052602,80W Max,9000LM Max,3000K~5700K,129.98,117.94,106.90,187.78,163.74
MCTP-RC1,845060039047,N/A,N/A,N/A,9.52,9.52,9.52,15.78,13.74
WML-HL-30W-30K,845060050042,30W,4200LM,3000K,67.98,59.94,52.90,95.78,83.74
WML-HL-50W-30K,845060050073,50W,7100LM,3000K,77.98,60.94,58.90,96.78,84.74
WML-HL-50W-40K,845060050080,50W,7100LM,4000K,77.98,60.94,58.90,96.78,84.74
WML-HL-50W-50K,845060050097,50W,7100LM,5000K,77.98,60.94,58.90,96.78,84.74
WML-HL-60W-30K,845060050103,60W,8700LM,3000K,105.98,94.94,74.90,150.78,131.74
WML-HL-60W-40K,845060050110,60W,8700LM,4000K,105.98,94.94,74.90,150.78,131.74
WML-HL-80W-30K,845060050134,80W,11600LM,3000K,126.98,112.94,89.90,179.78,156.74
WML-HL-100W-30K,845060050165,100W,14800LM,3000K,143.98,127.94,101.90,203.78,177.74
WML-HL-100W-40K,845060050172,100W,14800LM,4000K,143.98,127.94,101.90,203.78,177.74
WML-HL-120W-30K,845060050196,120W,17100LM,3000K,161.98,144.94,128.90,230.78,201.74
LMW-12W-30K,845060048919,12W,1300LM,3000K,47.98,40.94,39.90,65.78,58.74
LMW-12W-40K,845060048933,12W,1300LM,4000K,47.98,40.94,39.90,65.78,58.74
LMW-12W-50K,845060048957,12W,1300LM,5000K,47.98,40.94,39.90,65.78,58.74
LMW-12W-30K-WH,845060048926,12W,1300LM,3000K,63.98,54.94,52.90,87.78,79.74
LMW-12W-40K-WH,845060048940,12W,1300LM,4000K,63.98,54.94,52.90,87.78,79.74
LMW-12W-50K-WH,845060048964,12W,1300LM,5000K,63.98,54.94,52.90,87.78,79.74
WMV-20W-50K,845060016536,20W,2000LM,5000K,77.98,69.94,63.90,111.78,97.74
WMV-20W-40K,845060016529,20W,1900LM,4000K,77.98,69.94,63.90,111.78,97.74
WMV-20W-30K,845060016512,20W,1800LM,3000K,77.98,69.94,63.90,111.78,97.74
LESW-12W-50K-P,845060016550,12W,1300LM,5000K,22.98,22.98,22.98,36.78,31.74
LESW-12W-30K-P,845060016543,12W,1225LM,3000K,22.98,22.98,22.98,36.78,31.74
LESW-15W-30K-P,845060048834,15W,1675LM,3000K,26.98,23.94,21.29,38.78,33.74
LESW-15W-50K-P,845060048841,15W,1875LM,5000K,26.98,23.94,21.29,38.78,33.74
LESW-20W-30K-P,845060048872,20W,2300LM,3000K,29.98,26.94,23.90,42.78,37.74
LESW-20W-50K-P,845060048889,20W,2500LM,5000K,29.98,26.94,23.90,42.78,37.74
LESW-15W-30K-P-WH,845060048858,15W,1675LM,3000K,26.98,23.94,21.29,38.78,33.74
LESW-15W-50K-P-WH,845060048865,15W,1875LM,5000K,26.98,23.94,21.29,38.78,33.74
LESW-20W-30K-P-WH,845060048896,20W,2300LM,3000K,29.98,26.94,23.90,42.78,37.74
LESW-20W-50K-P-WH,845060048902,20W,2500LM,5000K,29.98,26.94,23.90,42.78,37.74
LESW-15-30W-MCTP-P,845060074611,15W/20W/30W,135LM/W,3000K/4000K/5000K,51.98,43.94,36.90,69.78,60.74
LESW-15-30W-MCTP-P-WH,845060074628,15W/20W/30W,135LM/W,3000K/4000K/5000K,51.98,43.94,36.90,69.78,60.74
LSW-22NW-PC,845060043006,20W,2050LM,4000K,56.98,51.94,45.90,82.78,72.74
LSW-30NW-PC,845060043112,30W,2800LM,4000K,73.98,66.94,59.90,106.78,92.74
LTW-50CW,845060045604,50W,4400LM,5000K,128.98,119.94,117.90,190.78,166.74
LTW-50NW,845060039405,50W,4400LM,4000K,128.98,119.94,117.90,190.78,166.74
LTW-50WW,845060045611,50W,4400LM,3000K,128.98,119.94,117.90,190.78,166.74
LFCO-50W-50K,845060031492,50W,6900LM,5000K,118.98,103.94,94.90,165.78,144.74
LFCO-80W-50K,845060031508,80W,10800LM,5000K,121.98,105.94,96.90,168.78,147.74
LFCO-150W-50K,845060031522,150W,19900LM,5000K,150.98,130.94,118.90,207.78,181.74
LFCO-50W-40K,845060032116,50W,6900LM,4000K,118.98,103.94,94.90,165.78,144.74
LFCO-80W-40K,845060032123,80W,10800LM,4000K,121.98,105.94,96.90,168.78,147.74
LFCO-100W-40K,845060032130,100W,14000LM,4000K,129.98,112.94,102.90,179.78,156.74
LFCO-150W-40K,845060032147,150W,19900LM,4000K,150.98,130.94,118.90,207.78,181.74
LFCO-HL-600W-50K-TR,845060031607,600W,86000LM,5000k,1030.98,923.94,859.90,1467.78,1282.74
LFCO-SA,845060031560,N/A,N/A,N/A,30.98,30.98,30.98,49.78,43.74
LFCO-SF,845060031553,N/A,N/A,N/A,33.98,33.98,33.98,53.78,47.74
LFCO-TR1,845060031577,N/A,N/A,N/A,15.41,15.41,15.41,24.78,21.74
