sku,upc_ean,cost-USD,msrp-USD,imap-USD
WM-LWA-12CW,845060001822,33.90,58.78,52.74
WM-LWA-12WW,845060001815,33.90,58.78,52.74
WM-LWA-20NW,845060025941,52.90,92.78,81.74
WM-LWA-80NW,845060025934,127.90,223.78,198.74
WM-LWA-80WW,845060001877,127.90,223.78,198.74
WM-LWA-120NW,845060025897,149.90,261.78,232.74
WM-LWA-120WW,845060001891,149.90,261.78,232.74
WM-LWA-12CW-WH,845060003925,52.90,95.78,84.74
WM-LWA-12WW-WH,845060003932,52.90,95.78,84.74
WM-LWA-20CW-WH,845060004359,65.90,120.78,106.74
WM-LWA-20WW-WH,845060004366,65.90,120.78,106.74
WM-LWA-30CW-WH,845060003949,68.90,125.78,111.74
WM-LWA-30WW-WH,845060003956,68.90,125.78,111.74
WM-LWA-50CW-WH,845060003963,109.90,214.78,189.74
WM-LWA-50WW-WH,845060003970,109.90,214.78,189.74
WM-LWA-SH1,845060015973,11.70,18.78,16.74
WM-LWA-SH2,845060015980,17.23,27.78,24.74
WM-LWA-SH3,845060015997,22.98,36.78,32.74
WM-LWP2-80CW,845060002522,119.90,230.78,204.74
WM-LWP2-80NW,845060029710,119.90,230.78,204.74
WM-LW360-25W-30K,845060042467,72.94,115.78,102.74
WM-LW360-25W-50K,845060041699,72.94,115.78,102.74
WM-LW360-40W-30K,845060035025,82.94,131.78,116.74
WM-LW360-40W-50K,845060036961,82.94,131.78,116.74
WM-LW360-60W-30K,845060044799,135.94,215.78,191.74
WM-LW360-60W-40K,845060029673,135.94,215.78,191.74
WM-LW360-60W-50K,845060044782,135.94,215.78,191.74
WM-LW360-80W-30K,845060033915,142.94,226.78,201.74
WM-LW360-80W-40K,845060029680,142.94,226.78,201.74
WM-LW360-80W-50K,845060042368,142.94,226.78,201.74
WM-LW360-25W-30K-WH,845060015898,72.94,115.78,102.74
WM-LW360-25W-50K-WH,845060015904,72.94,115.78,102.74
WM-LW360-40W-30K-WH,845060015911,82.94,131.78,116.74
WM-LW360-40W-50K-WH,845060015928,82.94,131.78,116.74
WM-LW360-SH1,845060047172,17.23,27.78,24.74
WM-WML2-28W-50K-HL-SM,845060010572,65.90,115.78,102.74
WM-WML2-28W-40K-HL-SM,845060010589,65.90,115.78,102.74
WM-WML2-28W-30K-HL-SM,845060010596,65.90,115.78,102.74
WM-WML2-50W-50K-SM,845060010602,72.90,131.78,116.74
WM-WML2-50W-40K-SM,845060010619,72.90,131.78,116.74
WM-WML2-50W-30K-SM,845060010626,72.90,131.78,116.74
WM-WML2-50W-50K-HL,845060010633,102.90,193.78,171.74
WM-WML2-50W-40K-HL,845060010640,102.90,193.78,171.74
WM-WML2-50W-30K-HL,845060010657,102.90,193.78,171.74
WM-WML2-80W-50K-HL,845060010664,111.90,215.78,191.74
WM-WML2-80W-40K-HL,845060010671,111.90,215.78,191.74
WM-WML2-80W-30K-HL,845060010688,111.90,215.78,191.74
WM-WML2-120W-50K-HL-LG,845060010695,185.90,338.78,299.74
WM-WML2-120W-40K-HL-LG,845060010701,185.90,338.78,299.74
WM-WML2-120W-30K-HL-LG,845060010718,185.90,338.78,299.74
WM-WML2-150W-50K-LG,845060010725,196.90,388.78,344.74
WM-WML2-150W-40K-LG,845060010732,196.90,388.78,344.74
WM-WML2-150W-30K-LG,845060010749,196.90,388.78,344.74
WM-WMX-MCTP-D,845060052596,106.90,187.78,163.74
WM-WMX-MCTP-D-WH,845060052602,106.90,187.78,163.74
WM-MCTP-RC1,845060039047,9.52,15.78,13.74
WM-WML-HL-30W-30K,845060050042,52.90,95.78,83.74
WM-WML-HL-50W-30K,845060050073,58.90,96.78,84.74
WM-WML-HL-50W-40K,845060050080,58.90,96.78,84.74
WM-WML-HL-50W-50K,845060050097,58.90,96.78,84.74
WM-WML-HL-60W-30K,845060050103,74.90,150.78,131.74
WM-WML-HL-60W-40K,845060050110,74.90,150.78,131.74
WM-WML-HL-80W-30K,845060050134,89.90,179.78,156.74
WM-WML-HL-100W-30K,845060050165,101.90,203.78,177.74
WM-WML-HL-100W-40K,845060050172,101.90,203.78,177.74
WM-WML-HL-120W-30K,845060050196,128.90,230.78,201.74
WM-LMW-12W-30K,845060048919,39.90,65.78,58.74
WM-LMW-12W-40K,845060048933,39.90,65.78,58.74
WM-LMW-12W-50K,845060048957,39.90,65.78,58.74
WM-LMW-12W-30K-WH,845060048926,52.90,87.78,79.74
WM-LMW-12W-40K-WH,845060048940,52.90,87.78,79.74
WM-LMW-12W-50K-WH,845060048964,52.90,87.78,79.74
WM-WMV-20W-50K,845060016536,63.90,111.78,97.74
WM-WMV-20W-40K,845060016529,63.90,111.78,97.74
WM-WMV-20W-30K,845060016512,63.90,111.78,97.74
WM-LESW-12W-50K-P,845060016550,22.98,36.78,31.74
WM-LESW-12W-30K-P,845060016543,22.98,36.78,31.74
WM-LESW-15W-30K-P,845060048834,21.29,38.78,33.74
WM-LESW-15W-50K-P,845060048841,21.29,38.78,33.74
WM-LESW-20W-30K-P,845060048872,23.90,42.78,37.74
WM-LESW-20W-50K-P,845060048889,23.90,42.78,37.74
WM-LESW-15W-30K-P-WH,845060048858,21.29,38.78,33.74
WM-LESW-15W-50K-P-WH,845060048865,21.29,38.78,33.74
WM-LESW-20W-30K-P-WH,845060048896,23.90,42.78,37.74
WM-LESW-20W-50K-P-WH,845060048902,23.90,42.78,37.74
WM-LESW-15-30W-MCTP-P,845060074611,36.90,69.78,60.74
WM-LESW-15-30W-MCTP-P-WH,845060074628,36.90,69.78,60.74
WM-LSW-22NW-PC,845060043006,45.90,82.78,72.74
WM-LSW-30NW-PC,845060043112,59.90,106.78,92.74
WM-LTW-50CW,845060045604,117.90,190.78,166.74
WM-LTW-50NW,845060039405,117.90,190.78,166.74
WM-LTW-50WW,845060045611,117.90,190.78,166.74
WM-LFCO-50W-50K,845060031492,94.90,165.78,144.74
WM-LFCO-80W-50K,845060031508,96.90,168.78,147.74
WM-LFCO-150W-50K,845060031522,118.90,207.78,181.74
WM-LFCO-50W-40K,845060032116,94.90,165.78,144.74
WM-LFCO-80W-40K,845060032123,96.90,168.78,147.74
WM-LFCO-100W-40K,845060032130,102.90,179.78,156.74
WM-LFCO-150W-40K,845060032147,118.90,207.78,181.74
WM-LFCO-HL-600W-50K-TR,845060031607,859.90,1467.78,1282.74
WM-LFCO-SA,845060031560,30.98,49.78,43.74
