sku,upc_ean,cost-USD,msrp-USD,imap-USD,mpn
WM-LESW-12W-30K-P,845060016543,22.98,36.78,31.74,LESW-12W-30K-P
WM-LSW-22NW-PC,845060043006,45.90,82.78,72.74,LSW-22NW-PC
WM-LF3-HL-SF,845060017786,30.98,49.78,43.74,LF3-HL-SF
WM-LF3-HL-RSF,845060022247,38.98,61.78,54.74,LF3-HL-RSF
WM-LF3-HL-FSF,845060022230,31.98,50.78,45.74,LF3-HL-FSF
WM-LF3-HL-RA,845060074673,38.98,61.78,54.74,LF3-HL-RA
WM-LF3-HL-EXTARM,845060017779,42.98,68.78,60.74,LF3-HL-EXTARM
WM-LF3-HL-ASA,845060025385,42.98,68.78,60.74,LF3-HL-ASA
WM-LF3-HL-50W-40K-D-KN,845060030648,48.98,77.78,68.74,LF3-HL-50W-40K-D-KN
WM-LF3-15NW-KN,845060025170,20.22,32.78,28.74,LF3-15NW-KN
WM-LF3-30NW-KN,845060031621,30.98,49.78,43.74,LF3-30NW-KN
WM-LF3-50NW-KN,845060031638,42.98,68.78,60.74,LF3-50NW-KN
WM-SFX-G5-1000W-30D-50K,845060030983,2032.90,3552.78,3216.74,SFX-G5-1000W-30D-50K
WM-LF4-12CW-KN,845060004007,28.98,46.78,40.74,LF4-12CW-KN
WM-LF4-30CW-KN,845060004045,49.98,79.78,70.74,LF4-30CW-KN
WM-LF4-100WW-SF,845060004199,129.98,206.78,183.74,LF4-100WW-SF
WM-LF4-12CW-TR,845060004021,28.98,46.78,40.74,LF4-12CW-TR
WM-LF4-50CW-TR,845060004083,63.98,101.78,90.74,LF4-50CW-TR
WM-LF5-380CW-480V,845060006933,342.98,544.78,482.74,LF5-380CW-480V
WM-EXPF-30W-60K,845060031461,208.90,365.78,323.74,EXPF-30W-60K
WM-EXPF-100W-60K,845060031478,401.90,701.78,622.74,EXPF-100W-60K
WM-EXPF-180W-60K,845060031485,659.90,1152.78,1022.74,EXPF-180W-60K
WM-LF-AD-SF-GY,845060033090,75.98,120.78,106.74,LF-AD-SF-GY
WM-SOLF-17W-50K,845060012279,300.90,525.78,475.74,SOLF-17W-50K
WM-SOLF-36W-50K,845060012286,592.90,1036.78,938.74,SOLF-36W-50K
WM-SOLF-54W-50K,845060012293,807.90,1413.78,1279.74,SOLF-54W-50K
WM-STL3-200W-50K,845060072914,318.94,506.78,449.74,STL3-200W-50K
WM-GS-CANOPY-150W-50K,845060046892,172.98,274.78,243.74,GS-CANOPY-150W-50K
WM-GS-CANOPY-SMB,845060008272,96.98,154.78,136.74,GS-CANOPY-SMB
WM-CDL2-45CW-M,845060004649,91.98,146.78,127.74,CDL2-45CW-M
WM-LR2-50NW-P,845060008395,72.90,126.78,112.74,LR2-50NW-P
WM-LR2-80CW-P,845060035810,145.94,231.78,205.74,LR2-80CW-P
WM-GL-MCTP-BK,845060059151,70.90,125.78,113.74,GL-MCTP-BK
