product_id,parent_sku,child_sku,"Color Temperature (CCT)","Finish Options","Light Source Options","Select Light Source","End Cap Finish Options","Letter Color Options","Wattage Options","Main Cable Length","Select Size","Metal Trim Ring Finish","Wattage & Lumen Options","Finial & Globe Options","Lamp / Ballast Options","Lamp & Ballast Options","Fixture Options","Control Options","Round Trim Ring Options","Square Trim Ring Options",Voltage,"Wattage / Lumen Options","[RB]Color Temperature (CCT)",Reflector,Color,"Color Temperature","Select Size (W x L)","Voltage Options","Length/Wattage Options","Mounting Options","Color Te\mperature (CCT)","Housing Color Options","Size & Wattage Options","Rod Set Options","Spool Length","Lamp Options","Lens Options","Size & Lamps Options","Watts & Bollard Options","Wattage & VA Rating","Wattage & Battery Type","Wattage & Lens Options","Soft Connector Options","Cable Options","Battery Options","Sensor Options","Distribution Options","Voltage Rating Options","Beam Angle Options",Lumens,Testing,"Dimming Options","CCT Options","Finish Option","Output Wattage Options","Number of Channels & Wattage Options","Length / Wattage Options","Length & Wattage Options"
4789,E-F17T8,F17T8-830,3000K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4790,E-F17T8,F17T8-835,3500K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4791,E-F17T8,F17T8-841,4100K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4792,E-F17T8,F17T8-850,"5000K (Default)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10363,TF-LINPF2328MV,TF-LINPF2328MV-WHHC301WH,,White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10364,TF-LINPF2328MV,TF-LINPF2328MV-SLHC301WH,,Silver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10365,TF-LINPF2328MV,TF-LINPF2328MV-BKHC301WH,,Black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10366,TF-LINPF2328MV,TF-LINPF2328MV-RDHC301WH,,Red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10367,TF-LINPF2328MV,TF-LINPF2328MV-IRHC301WH,,Iron,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10368,TF-LINPF232MV,TF-LINPF232MV-WHHC301WH,,White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10369,TF-LINPF232MV,TF-LINPF232MV-SLHC301WH,,Silver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10370,TF-LINPF232MV,TF-LINPF232MV-BKHC301WH,,Black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10371,TF-LINPF232MV,TF-LINPF232MV-RDHC301WH,,Red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10372,TF-LINPF232MV,TF-LINPF232MV-INHC301WH,,Iron,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10373,TF-LINPF2548MV,TF-LINPF2548MV-WHHC301WH,,White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10374,TF-LINPF2548MV,TF-LINPF2548MV-SLHC301WH,,Silver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10375,TF-LINPF2548MV,TF-LINPF2548MV-BKHC301WH,,Black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10376,TF-LINPF2548MV,TF-LINPF2548MV-RDHC301WH,,Red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10377,TF-LINPF2548MV,TF-LINPF2548MV-INHC301WH,,Iron,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10378,TF-LINPF3548MV,TF-LINPF3548MV-WHHC301WH,,White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10379,TF-LINPF3548MV,TF-LINPF3548MV-SLHC301WH,,Silver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10380,TF-LINPF3548MV,TF-LINPF3548MV-BKHC301WH,,Black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10381,TF-LINPF3548MV,TF-LINPF3548MV-RDHC301WH,,Red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10382,TF-LINPF3548MV,TF-LINPF3548MV-INHC301WH,,Iron,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10383,TF-LINPF354MV,TF-LINPF354MV-WHHC301WH,,White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10384,TF-LINPF354MV,TF-LINPF354MV-SLHC301WH,,Silver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10385,TF-LINPF354MV,TF-LINPF354MV-BKHC301WH,,Black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10386,TF-LINPF354MV,TF-LINPF354MV-RDHC301WH,,Red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10387,TF-LINPF354MV,TF-LINPF354MV-INHC301WH,,Iron,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10388,TF-LINLV2548MV,TF-LINLV2548MV-WHHC301WH,,White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10389,TF-LINLV2548MV,TF-LINLV2548MV-SLHC301WH,,Silver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10390,TF-LINLV2548MV,TF-LINLV2548MV-BKHC301WH,,Black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10391,TF-LINLV2548MV,TF-LINLV2548MV-RDHC301WH,,Red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10392,TF-LINLV2548MV,TF-LINLV2548MV-INHC301WH,,Iron,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10393,TF-LINLV254MV,TF-LINLV254MV-WHHC301WH,,White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10394,TF-LINLV254MV,TF-LINLV254MV-SLHC301WH,,Silver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10395,TF-LINLV254MV,TF-LINLV254MV-BKHC301WH,,Black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10396,TF-LINLV254MV,TF-LINLV254MV-RDHC301WH,,Red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
