parent_sku,Child_sku,ProductId,Product Name,,,
TF-CITLB254MV,TF-CITLB254MV-LI835-CS08,10477,[S]Factory Installed Lamps,3500K 85 CRI,[S]Wiring Options,8’ 3/18 Cord\ no plug
TF-CITLB254MV,TF-CITLB254MV-LI835-CS,10478,[S]Factory Installed Lamps,3500K 85 CRI,[S]Wiring Options,8’ Cordset 120V\ 3-WIRE\ NEMA 5-15P
TF-CITLB254MV,TF-CITLB254MV-LI835-CS10,10479,[S]Factory Installed Lamps,3500K 85 CRI,[S]Wiring Options,12’ 3/18 Cord\ no plug
TF-CITLB254MV,TF-CITLB254MV-LI835-CS11,10480,[S]Factory Installed Lamps,3500K 85 CRI,[S]Wiring Options,12’ 3/18 Cord\ 120V 3-WIRE\ NEMA 5-15P
TF-CITLB254MV,TF-CITLB254MV-LI835-CS12,10481,[S]Factory Installed Lamps,3500K 85 CRI,[S]Wiring Options,8’ Cordset 277V\ 3-WIRE\ NEMA L7-15P
TF-CITLB254MV,TF-CITLB254MV-LI841-CS08,10482,[S]Factory Installed Lamps,4100K 85 CRI,[S]Wiring Options,8’ 3/18 Cord\ no plug
TF-CITLB254MV,TF-CITLB254MV-LI841-CS,10483,[S]Factory Installed Lamps,4100K 85 CRI,[S]Wiring Options,8’ Cordset 120V\ 3-WIRE\ NEMA 5-15P
TF-CITLB254MV,TF-CITLB254MV-LI841-CS10,10484,[S]Factory Installed Lamps,4100K 85 CRI,[S]Wiring Options,12’ 3/18 Cord\ no plug
TF-CITLB254MV,TF-CITLB254MV-LI841-CS11,10485,[S]Factory Installed Lamps,4100K 85 CRI,[S]Wiring Options,12’ 3/18 Cord\ 120V 3-WIRE\ NEMA 5-15P
TF-CITLB254MV,TF-CITLB254MV-LI841-CS12,10486,[S]Factory Installed Lamps,4100K 85 CRI,[S]Wiring Options,8’ Cordset 277V\ 3-WIRE\ NEMA L7-15P
TF-CITLB254MV,TF-CITLB254MV-LI850-CS08,10487,[S]Factory Installed Lamps,5000K 85 CRI (Recommended),[S]Wiring Options,8’ 3/18 Cord\ no plug
TF-CITLB254MV,TF-CITLB254MV-LI850-CS,10488,[S]Factory Installed Lamps,5000K 85 CRI (Recommended),[S]Wiring Options,8’ Cordset 120V\ 3-WIRE\ NEMA 5-15P
TF-CITLB254MV,TF-CITLB254MV-LI850-CS10,10489,[S]Factory Installed Lamps,5000K 85 CRI (Recommended),[S]Wiring Options,12’ 3/18 Cord\ no plug
TF-CITLB254MV,TF-CITLB254MV-LI850-CS11,10490,[S]Factory Installed Lamps,5000K 85 CRI (Recommended),[S]Wiring Options,12’ 3/18 Cord\ 120V 3-WIRE\ NEMA 5-15P
TF-CITLB254MV,TF-CITLB254MV-LI850-CS12,10491,[S]Factory Installed Lamps,5000K 85 CRI (Recommended),[S]Wiring Options,8’ Cordset 277V\ 3-WIRE\ NEMA L7-15P
