id,product_id,sku
1,268,QUOTE
2,271,ILP-BL-4T8
3,466,F14T5/830-CASE50
4,467,F14T5/835-CASE50
5,468,F14T5/841-CASE50
6,469,F14T5/865-CASE50
7,470,F21T5/830-CASE50
8,471,F21T5/835-CASE25
9,472,F21T5/841-CASE25
10,473,F21T5/850-CASE25
11,474,F21T5/865-CASE25
12,475,F24T5/830/HO-CASE50
13,476,F24T5/835/HO-CASE50
14,477,F24T5/841/HO-CASE50
15,478,F24T5/865/HO-CASE50
16,487,F39T5/830/HO-CASE50
17,488,F39T5/835/HO-CASE50
18,489,F39T5/841/HO-CASE50
19,490,F39T5/865/HO-CASE50
20,600,TF-HB131A125632M23MV
21,601,TF-HB131A125654M23MV
22,610,TF-H6L6328W13MV
23,612,TF-H6L632W13MV
24,613,TF-H6L6548M23MV
25,614,TF-H6L6548W13MV
26,615,TF-H6L654M23MV
27,616,TF-H6L654W13MV
28,617,TF-HBG432W13MV
29,618,TF-HBG454M23MV
30,619,TF-HBG454W13MV
31,620,TF-HBG632M23MV
32,621,TF-HBG632W13MV
33,622,TF-HBG654M23MV
34,623,TF-HBG654W13MV
35,624,TF-HBG832M23MV
36,625,TF-HBG832W13MV
37,626,TF-HBG854M23MV
38,627,TF-HBG854W13MV
39,628,TF-HBG1032M23MV
40,629,TF-HBG1032W13MV
41,630,TF-HBG1054M23MV
42,631,TF-HBG1054W13MV
43,665,TF-PPDI2548MVSLHC301WH
44,666,TF-PPDI2548MVWHC301WH
45,667,TF-PPDI254MVSLHC301WH
46,668,TF-PPDI254MVWHC301WH
47,669,TF-PPDI3328MVSLHC301WH
48,670,TF-PPDI3328MVWHC301WH
49,671,TF-PPDI332MVSLHC301WH
50,672,TF-PPDI332MVWHC301WH
51,673,TF-PPDI3548MVSLC301WH
52,674,TF-PPDI3548MVWHC301WH
53,675,TF-PPDI354MVSLC301WH
54,676,TF-PPDI354MVWHC301WH
55,677,TF-44SMW2328MVWH
56,678,TF-44SMW232MVWH
57,679,TF-44SMW2548MVWH
58,680,TF-44SMW254MVWH
59,721,TF-PLIN354MVSLHC401WH
60,722,TF-PLIN354MVWHHC401WH
61,723,TF-44RMW2328MVWH
62,724,TF-44RMW232MVWH
63,725,TF-44RMW2548MVWH
64,726,TF-44RMW254MVWH
65,727,TF-CRVPF217MV
66,728,TF-CRVPF224MV
67,729,TF-CRVPF232MV
68,730,TF-CRVPF254MV
69,731,TF-CRVPF317MV
70,732,TF-CRVPF324MV
71,733,TF-CRVPF332MV
72,734,TF-CRVPF354MV
73,735,TF-CRVRL217MV
74,736,TF-CRVRL224MV
75,737,TF-CRVRL232MV
76,738,TF-CRVRL254MV
77,739,TF-CRVRL317MV
78,740,TF-CRVRL324MV
79,741,TF-CRVRL332MV
80,742,TF-CRVRL354MV
81,768,TF-UDPF214MV
82,769,TF-UDPF217MV
83,770,TF-UDPF224MV
84,771,TF-UDPF232MV
85,772,TF-UDPF240BXMV
86,773,TF-UDPF254MV
87,774,TF-UDPF414MV
88,775,TF-UDPF417MV
89,776,TF-UDPF424MV
90,777,TF-UDPF432MV
91,778,TF-UDPF440BXMV
92,779,TF-UDPF454MV
93,780,TF-EWW140BXM20MV
94,781,TF-EWW240BXM20MV
95,782,TF-FIK1X4
96,783,TF-FIK2X2
97,784,TF-FIK2X4
98,785,TF-159A117MV
99,786,TF-159A125MV
100,787,TF-200A217MV
101,788,TF-159A132MV
102,789,TF-159A1328MV
103,790,TF-200A2328MV
104,791,TF-200A232MV
105,792,TF-200A3328MV
106,793,TF-200A332MV
107,794,TF-200A417MV
108,795,TF-200A4328MV
109,796,TF-200A432MV
110,797,TF-201A1328MV
111,798,TF-201A132MV
112,799,TF-201A2328MV
113,800,TF-201A232MV
114,801,TF-207A217MV
115,802,TF-207A217S
116,803,TF-207A232MV
117,804,TF-207A232S
118,806,TF-207A332MV
119,807,TF-207A332S
120,808,TF-207A417MV
121,809,TF-207A417S
122,811,TF-207A432MV
123,812,TF-207A432S
124,814,TF-209A217MV
125,816,TF-209A232MV
126,817,TF-209A232S
127,819,TF-CITLB117MV
128,820,TF-CITLB124MV
129,821,TF-CITLB132MV
