Product_sku,Light_Source,Fixture_Size,"Listings and Ratings","Ballast and Voltage","Color Rendering Index (CRI)","Driver Type","Lumen Output","L70 Expected Life (hours)","L90 Expected Life (hours)","Color Temperature","Total Input Watt","Total Input Watts","Pack Size","Luminaire Efficacy Rating (LER)","Color Temperature (CCT)","Max Ambient Temp","Lamp Count",Lens,Socket,Application,"Insulation Rating",__alsobought,"Rated Life","Max Ambient"
ILP-BL-4T8,"T8 Fluorescent","4' Linear","UL Wet Location Listed, NSF / ANSI Standard 2 Splash Zone, Nema4X, IP67 Dust Protection, RoHS Compliant, 1500 PSI High Pressure Hose Tested","120-277V or 347/480V Electronic program start ballast from Advance or GE",,,,,,,,,,,,,,,,,,,,
F14T5/830-CASE50,"T5 Fluorescent",,,,85,,1350,,,3000K,,14,,,,,,,,,,,,
F14T5/835-CASE50,"T5 Fluorescent",,,,85,,1350,,,3500K,,14,,,,,,,,,,,,
F14T5/841-CASE50,"T5 Fluorescent",,,,85,,1350,,,4100K,,14,,,,,,,,,,,,
F14T5/865-CASE50,"T5 Fluorescent",,,,85,,1350,,,6500K,,14,,,,,,,,,,,,
F21T5/830-CASE50,"T5 Fluorescent",,,,85,,2100,,,3000K,,21,,,,,,,,,,,,
F21T5/835-CASE25,"T5 Fluorescent",,,,85,,2100,,,3500K,,21,,,,,,,,,,,,
F21T5/841-CASE25,"T5 Fluorescent",,,,85,,2100,,,4100K,,21,,,,,,,,,,,,
F21T5/850-CASE25,"T5 Fluorescent",,,,85,,2100,,,5000K,,21,,,,,,,,,,,,
F21T5/865-CASE25,"T5 Fluorescent",,,,85,,2100,,,6500K,,21,,,,,,,,,,,,
F24T5/830/HO-CASE50,"T5HO Fluorescent",,,,85,,2000,,,3000K,,24,,,,,,,,,,,,
F24T5/835/HO-CASE50,"T5HO Fluorescent",,,,85,,2000,,,3500K,,24,,,,,,,,,,,,
F24T5/841/HO-CASE50,"T5HO Fluorescent",,,,85,,2000,,,4100K,,24,,,,,,,,,,,,
F24T5/865/HO-CASE50,"T5HO Fluorescent",,,,85,,2000,,,6500K,,24,,,,,,,,,,,,
F39T5/830/HO-CASE50,"T5HO Fluorescent",,,,85,,3500,,,3000K,,39,,,,,,,,,,,,
F39T5/835/HO-CASE50,"T5HO Fluorescent",,,,85,,3500,,,3500K,,39,,,,,,,,,,,,
F39T5/841/HO-CASE50,"T5HO Fluorescent",,,,85,,3500,,,4100K,,39,,,,,,,,,,,,
F39T5/865/HO-CASE50,"T5HO Fluorescent",,,,85,,3500,,,6500K,,39,,,,,,,,,,,,
TF-HB131A125632M23MV,"T8 Fluorescent",2x4,"Class P,HPF,Non PCB,Thermally protected,UL Listed","Electronic, Multivolt 120-277V",,,,,,,,,,,,,,,,,,,,
TF-HB131A125654M23MV,"T5HO Fluorescent",2x4,"Class P,HPF,Non PCB,Thermally protected,UL Listed","Electronic, Multivolt 120-277V",,,,,,,,,,,,,,,,,,,,
TF-H6L6328W13MV,"T8 Fluorescent","8' Linear","UL Listed","Electronic, Multivolt 120-277V",,,,,,,,,,,,,,,,,,,,
TF-H6L632W13MV,"T8 Fluorescent","4' Linear","UL Listed","Electronic, Multivolt 120-277V",,,,,,,,,,,,,,,,,,,,
TF-H6L6548M23MV,"T5HO Fluorescent","8' Linear","UL Listed","Electronic, Multivolt 120-277V",,,,,,,,,,,,,,,,,,,,
TF-H6L6548W13MV,"T5HO Fluorescent","8' Linear","UL Listed","Electronic, Multivolt 120-277V",,,,,,,,,,,,,,,,,,,,
TF-H6L654M23MV,"T5HO Fluorescent","4' Linear","UL Listed","Electronic, Multivolt 120-277V",,,,,,,,,,,,,,,,,,,,
TF-H6L654W13MV,"T5HO Fluorescent","4' Linear","UL Listed","Electronic, Multivolt 120-277V",,,,,,,,,,,,,,,,,,,,
TF-HBG432W13MV,"T8 Fluorescent","4' Linear","Class P,HPF,Non PCB,Thermally protected,UL Listed","Electronic, Multivolt 120-277V",,,,,,,,,,,,,,,,,,,,
TF-HBG454M23MV,"T5HO Fluorescent","4' Linear","Class P,HPF,Non PCB,Thermally protected,UL Listed","Electronic, Multivolt 120-277V",,,,,,,,,,,,,,,,,,,,
TF-HBG454W13MV,"T5HO Fluorescent","4' Linear","Class P,HPF,Non PCB,Thermally protected,UL Listed","Electronic, Multivolt 120-277V",,,,,,,,,,,,,,,,,,,,
TF-HBG632M23MV,"T8 Fluorescent","4' Linear","Class P,HPF,Non PCB,Thermally protected,UL Listed","Electronic, Multivolt 120-277V",,,,,,,,,,,,,,,,,,,,
TF-HBG632W13MV,"T8 Fluorescent","4' Linear","Class P,HPF,Non PCB,Thermally protected,UL Listed","Electronic, Multivolt 120-277V",,,,,,,,,,,,,,,,,,,,
TF-HBG654M23MV,"T5HO Fluorescent","4' Linear","Class P,HPF,Non PCB,Thermally protected,UL Listed","Electronic, Multivolt 120-277V",,,,,,,,,,,,,,,,,,,,
TF-HBG654W13MV,"T5HO Fluorescent","4' Linear","Class P,HPF,Non PCB,Thermally protected,UL Listed","Electronic, Multivolt 120-277V",,,,,,,,,,,,,,,,,,,,
TF-HBG832M23MV,"T8 Fluorescent","4' Linear","Class P,HPF,Non PCB,Thermally protected,UL Listed","Electronic, Multivolt 120-277V",,,,,,,,,,,,,,,,,,,,
TF-HBG832W13MV,"T8 Fluorescent","4' Linear","Class P,HPF,Non PCB,Thermally protected,UL Listed","Electronic, Multivolt 120-277V",,,,,,,,,,,,,,,,,,,,
TF-HBG854M23MV,"T5HO Fluorescent","4' Linear","Class P,HPF,Non PCB,Thermally protected,UL Listed","Electronic, Multivolt 120-277V",,,,,,,,,,,,,,,,,,,,
TF-HBG854W13MV,"T5HO Fluorescent","4' Linear","Class P,HPF,Non PCB,Thermally protected,UL Listed","Electronic, Multivolt 120-277V",,,,,,,,,,,,,,,,,,,,
TF-HBG1032M23MV,"T8 Fluorescent","4' Linear","Class P,HPF,Non PCB,Thermally protected,UL Listed","Electronic, Multivolt 120-277V",,,,,,,,,,,,,,,,,,,,
TF-HBG1032W13MV,"T8 Fluorescent","4' Linear","Class P,HPF,Non PCB,Thermally protected,UL Listed","Electronic, Multivolt 120-277V",,,,,,,,,,,,,,,,,,,,
