Sku,Previous Val,New Val
ILP-HS-2T5,Factory Installed Lamps,Factory Installed 
ILP-HS-4T5,Lens Options,Lens
ILP-HS-6T5,Ballast Voltage,Ballast 
ILP-HS-8T5,Ballast Voltage,Ballast 
ILP-HA-2T5,Ballast Voltage,Ballast 
ILP-HA-4T5,Ballast Voltage,Ballast
ILP-HA-6T5,Lens Options,Lens
ILP-HA-8T5,Ballast Voltage,Ballast
HS-2T8,Lens Options,Lens
HS-4T8,Lens Options,Lens
HS-6T8,Lens Options,Lens
HS-8T8,Lens Options,Lens
HA-2T8,Lens Options,Lens
HA-4T8,Lens Options,Lens
HA-6T8,Lens Options,Lens
HA-8T8,Lens Options,Lens
ILP-HS8-4T5,Ballast Voltage,Ballast 
