product_id,parent_sku,child_sku
267,E-F17T8,"F17T8-830,F17T8-835,F17T8-841,F17T8-850"
655,TF-LINPF2328MV,"TF-LINPF2328MV-WHHC301WH,TF-LINPF2328MV-SLHC301WH,TF-LINPF2328MV-BKHC301WH,TF-LINPF2328MV-RDHC301WH,TF-LINPF2328MV-IRHC301WH"
657,TF-LINPF232MV,"TF-LINPF232MV-WHHC301WH,TF-LINPF232MV-SLHC301WH,TF-LINPF232MV-BKHC301WH,TF-LINPF232MV-RDHC301WH,TF-LINPF232MV-INHC301WH"
659,TF-LINPF2548MV,"TF-LINPF2548MV-WHHC301WH,TF-LINPF2548MV-SLHC301WH,TF-LINPF2548MV-BKHC301WH,TF-LINPF2548MV-RDHC301WH,TF-LINPF2548MV-INHC301WH"
662,TF-LINPF3548MV,"TF-LINPF3548MV-WHHC301WH,TF-LINPF3548MV-SLHC301WH,TF-LINPF3548MV-BKHC301WH,TF-LINPF3548MV-RDHC301WH,TF-LINPF3548MV-INHC301WH"
664,TF-LINPF354MV,"TF-LINPF354MV-WHHC301WH,TF-LINPF354MV-SLHC301WH,TF-LINPF354MV-BKHC301WH,TF-LINPF354MV-RDHC301WH,TF-LINPF354MV-INHC301WH"
690,TF-LINLV2548MV,"TF-LINLV2548MV-WHHC301WH,TF-LINLV2548MV-SLHC301WH,TF-LINLV2548MV-BKHC301WH,TF-LINLV2548MV-RDHC301WH,TF-LINLV2548MV-INHC301WH"
692,TF-LINLV254MV,"TF-LINLV254MV-WHHC301WH,TF-LINLV254MV-SLHC301WH,TF-LINLV254MV-BKHC301WH,TF-LINLV254MV-RDHC301WH,TF-LINLV254MV-INHC301WH"
694,TF-LINLV3548MV,"TF-LINLV3548MV-WHHC301WH,TF-LINLV3548MV-SLHC301WH,TF-LINLV3548MV-BKHC301WH,TF-LINLV3548MV-RDHC301WH,TF-LINLV3548MV-INHC301WH"
696,TF-LINLV354MV,"TF-LINLV354MV-WHHC301WH,TF-LINLV354MV-BKHC301WH,TF-LINLV354MV-SLHC301WH,TF-LINLV354MV-RDHC301WH,TF-LINLV354MV-INHC301WH"
698,TF-LINMW2328MV,"TF-LINMW2328MV-WHHC301WH,TF-LINMW2328MV-BKHC301WH,TF-LINMW2328MV-SLHC301WH,TF-LINMW2328MV-RDHC301WH,TF-LINMW2328MV-INHC301WH"
700,TF-LINMW232MV,"TF-LINMW232MV-WHHC301WH,TF-LINMW232MV-BKHC301WH,TF-LINMW232MV-RDHC301WH,TF-LINMW232MV-INHC301WH"
702,TF-LINMW2548MV,"TF-LINMW2548MV-WHHC301WH,TF-LINMW2548MV-BKHC301WH,TF-LINMW2548MV-SLHC301WH,TF-LINMW2548MV-RDHC301WH,TF-LINMW2548MV-INHC301WH"
704,TF-LINMW254MV,"TF-LINMW254MV-WHHC301WH,TF-LINMW254MV-BKHC301WH,TF-LINMW254MV-RDHC301WH,TF-LINMW254MV-INHC301WH"
706,TF-LINMW3548MV,"TF-LINMW3548MV-WHHC301WH,TF-LINMW3548MV-BKHC301WH,TF-LINMW3548MV-SLHC301WH,TF-LINMW3548MV-RDHC301WH,TF-LINMW3548MV-INHC301WH"
707,TF-LINMW354MV,"TF-LINMW354MV-WHHC301WH,TF-LINMW354MV-BKHC301WH,TF-LINMW354MV-SLHC301WH,TF-LINMW354MV-RDHC301WH,TF-LINMW354MV-INHC301WH"
712,TF-PLIN2328MV,"TF-PLIN2328MV-WHHC401WH,TF-PLIN2328MV-SLHC401WH,TF-PLIN2328MV-RDHC401WH,TF-PLIN2328MV-INHC401WH"
714,TF-PLIN232MV,"TF-PLIN232MV-WHHC401WH,TF-PLIN232MV-SLHC401WH,TF-PLIN232MV-RDHC401WH,TF-PLIN232MV-INHC401WH"
716,TF-PLIN2548MV,"TF-PLIN2548MV-WHHC401WH,TF-PLIN2548MV-SLWHC401WH"
718,TF-PLIN254MV,"TF-PLIN254MV-WHHC401WH,TF-PLIN254MV-SLHC401WH"
