product_id,parent_sku,child_sku
2548,TF-ECLMW248L,"TF-ECLMW248L-S57W4500LDMV-30K-BM,TF-ECLMW248L-S57W4500LDMV-30K-TO,TF-ECLMW248L-S57W4500LDMV-30K-IM,TF-ECLMW248L-S57W4500LDMV-30K-WM,TF-ECLMW248L-S57W4500LDMV-35K-WH,TF-ECLMW248L-S57W4500LDMV-35K-SL,TF-ECLMW248L-S57W4500LDMV-35K-BM,TF-ECLMW248L-S57W4500LDMV-35K-TO,TF-ECLMW248L-S57W4500LDMV-35K-IM,TF-ECLMW248L-S57W4500LDMV-35K-WM,TF-ECLMW248L-S57W4500LDMV-40K-WH,TF-ECLMW248L-S57W4500LDMV-40K-SL,TF-ECLMW248L-S57W4500LDMV-40K-BM,TF-ECLMW248L-S57W4500LDMV-40K-TO,TF-ECLMW248L-S57W4500LDMV-40K-IM,TF-ECLMW248L-S57W4500LDMV-40K-WM,TF-ECLMW248L-S57W4500LDMV-50K-WH,TF-ECLMW248L-S57W4500LDMV-50K-SL,TF-ECLMW248L-S57W4500LDMV-50K-BM,TF-ECLMW248L-S57W4500LDMV-50K-TO,TF-ECLMW248L-S57W4500LDMV-50K-IM,TF-ECLMW248L-S57W4500LDMV-50K-WM"
2568,DG-AFR32Q,"DG-AFR32Q-B-1X37-U-4K-CB,DG-AFR32Q-B-1X37-U-4K-LB,DG-AFR32Q-B-1X37-U-5K-CB,DG-AFR32Q-B-1X37-U-5K-LB,DG-AFR32Q-B-1X37-H-3K-CB,DG-AFR32Q-B-1X37-H-3K-LB,DG-AFR32Q-B-1X37-H-4K-CB,DG-AFR32Q-B-1X37-H-4K-LB,DG-AFR32Q-B-1X37-H-5K-CB,DG-AFR32Q-B-1X37-H-5K-LB,DG-AFR32Q-B-1X65-U-3K-CB,DG-AFR32Q-B-1X65-U-3K-LB,DG-AFR32Q-B-1X65-U-4K-CB,DG-AFR32Q-B-1X65-U-4K-LB,DG-AFR32Q-B-1X65-U-5K-CB,DG-AFR32Q-B-1X65-U-5K-LB,DG-AFR32Q-B-1X65-H-3K-CB,DG-AFR32Q-B-1X65-H-3K-LB,DG-AFR32Q-B-1X65-H-4K-CB,DG-AFR32Q-B-1X65-H-4K-LB,DG-AFR32Q-B-1X65-H-5K-CB,DG-AFR32Q-B-1X65-H-5K-LB,DG-AFR32Q-B-1X100-U-3K-CB,DG-AFR32Q-B-1X100-U-3K-LB,DG-AFR32Q-B-1X100-U-4K-CB,DG-AFR32Q-B-1X100-U-4K-LB,DG-AFR32Q-B-1X100-U-5K-CB,DG-AFR32Q-B-1X100-U-5K-LB,DG-AFR32Q-B-1X100-H-3K-CB,DG-AFR32Q-B-1X100-H-3K-LB,DG-AFR32Q-B-1X100-H-4K-CB,DG-AFR32Q-B-1X100-H-4K-LB,DG-AFR32Q-B-1X100-H-5K-CB,DG-AFR32Q-B-1X100-H-5K-LB,DG-AFR32Q-B-1X140-U-3K-CB,DG-AFR32Q-B-1X140-U-3K-LB,DG-AFR32Q-B-1X140-U-4K-CB,DG-AFR32Q-B-1X140-U-4K-LB,DG-AFR32Q-B-1X140-U-5K-CB,DG-AFR32Q-B-1X140-U-5K-LB,DG-AFR32Q-B-1X140-H-3K-CB,DG-AFR32Q-B-1X140-H-3K-LB,DG-AFR32Q-B-1X140-H-4K-CB,DG-AFR32Q-B-1X140-H-4K-LB,DG-AFR32Q-B-1X140-H-5K-CB,DG-AFR32Q-B-1X140-H-5K-LB,DG-AFR32Q-C-1X37-U-3K-CB,DG-AFR32Q-C-1X37-U-3K-LB,DG-AFR32Q-C-1X37-U-4K-CB,DG-AFR32Q-C-1X37-U-4K-LB"
2579,DG-AFR31Q,"DG-AFR31Q-B-1X37-U-4K-CB,DG-AFR31Q-B-1X37-U-4K-LB,DG-AFR31Q-B-1X37-U-5K-CB,DG-AFR31Q-B-1X37-U-5K-LB,DG-AFR31Q-B-1X37-H-3K-CB,DG-AFR31Q-B-1X37-H-3K-LB,DG-AFR31Q-B-1X37-H-4K-CB,DG-AFR31Q-B-1X37-H-4K-LB,DG-AFR31Q-B-1X37-H-5K-CB,DG-AFR31Q-B-1X37-H-5K-LB,DG-AFR31Q-B-1X65-U-3K-CB,DG-AFR31Q-B-1X65-U-3K-LB,DG-AFR31Q-B-1X65-U-4K-CB,DG-AFR31Q-B-1X65-U-4K-LB,DG-AFR31Q-B-1X65-U-5K-CB,DG-AFR31Q-B-1X65-U-5K-LB,DG-AFR31Q-B-1X65-H-3K-CB,DG-AFR31Q-B-1X65-H-3K-LB,DG-AFR31Q-B-1X65-H-4K-CB,DG-AFR31Q-B-1X65-H-4K-LB,DG-AFR31Q-B-1X65-H-5K-CB,DG-AFR31Q-B-1X65-H-5K-LB,DG-AFR31Q-B-1X100-U-3K-CB,DG-AFR31Q-B-1X100-U-3K-LB,DG-AFR31Q-B-1X100-U-4K-CB,DG-AFR31Q-B-1X100-U-4K-LB,DG-AFR31Q-B-1X100-U-5K-CB,DG-AFR31Q-B-1X100-U-5K-LB,DG-AFR31Q-B-1X100-H-3K-CB,DG-AFR31Q-B-1X100-H-3K-LB,DG-AFR31Q-B-1X100-H-4K-CB,DG-AFR31Q-B-1X100-H-4K-LB,DG-AFR31Q-B-1X100-H-5K-CB,DG-AFR31Q-B-1X100-H-5K-LB,DG-AFR31Q-B-1X140-U-3K-CB,DG-AFR31Q-B-1X140-U-3K-LB,DG-AFR31Q-B-1X140-U-4K-CB,DG-AFR31Q-B-1X140-U-4K-LB,DG-AFR31Q-B-1X140-U-5K-CB,DG-AFR31Q-B-1X140-U-5K-LB,DG-AFR31Q-B-1X140-H-3K-CB,DG-AFR31Q-B-1X140-H-3K-LB,DG-AFR31Q-B-1X140-H-4K-CB,DG-AFR31Q-B-1X140-H-4K-LB,DG-AFR31Q-B-1X140-H-5K-CB,DG-AFR31Q-B-1X140-H-5K-LB,DG-AFR31Q-C-1X37-U-3K-CB,DG-AFR31Q-C-1X37-U-3K-LB,DG-AFR31Q-C-1X37-U-4K-CB,DG-AFR31Q-C-1X37-U-4K-LB"
2690,DG-FTRBQ,"DG-FTRBQC1X15-U-5K-Z-36,DG-FTRBQC1X15-U-5K-B-36,DG-FTRBQC1X15-U-5K-Z-30,DG-FTRBQC1X15-U-5K-B-30,DG-FTRBQC1X15-C-3K-Z,DG-FTRBQC1X15-C-3K-B,DG-FTRBQC1X15-C-3K-Z-36,DG-FTRBQC1X15-C-3K-B-36,DG-FTRBQC1X15-C-3K-Z-30,DG-FTRBQC1X15-C-3K-B-30,DG-FTRBQC1X15-C-4K-Z,DG-FTRBQC1X15-C-4K-B,DG-FTRBQC1X15-C-4K-Z-36,DG-FTRBQC1X15-C-4K-B-36,DG-FTRBQC1X15-C-4K-Z-30,DG-FTRBQC1X15-C-4K-B-30,DG-FTRBQC1X15-C-5K-Z,DG-FTRBQC1X15-C-5K-B,DG-FTRBQC1X15-C-5K-Z-36,DG-FTRBQC1X15-C-5K-B-36,DG-FTRBQC1X15-C-5K-Z-30,DG-FTRBQC1X15-C-5K-B-30,DG-FTRBQC1X22-U-3K-Z,DG-FTRBQC1X22-U-3K-B,DG-FTRBQC1X22-U-3K-Z-36,DG-FTRBQC1X22-U-3K-B-36,DG-FTRBQC1X22-U-3K-Z-30,DG-FTRBQC1X22-U-3K-B-30,DG-FTRBQC1X22-U-4K-Z,DG-FTRBQC1X22-U-4K-B,DG-FTRBQC1X22-U-4K-Z-36,DG-FTRBQC1X22-U-4K-B-36,DG-FTRBQC1X22-U-4K-Z-30,DG-FTRBQC1X22-U-4K-B-30,DG-FTRBQC1X22-U-5K-Z,DG-FTRBQC1X22-U-5K-B,DG-FTRBQC1X22-U-5K-Z-36,DG-FTRBQC1X22-U-5K-B-36,DG-FTRBQC1X22-U-5K-Z-30,DG-FTRBQC1X22-U-5K-B-30,DG-FTRBQC1X22-C-3K-Z,DG-FTRBQC1X22-C-3K-B,DG-FTRBQC1X22-C-3K-Z-36,DG-FTRBQC1X22-C-3K-B-36,DG-FTRBQC1X22-C-3K-Z-30,DG-FTRBQC1X22-C-3K-B-30,DG-FTRBQC1X22-C-4K-Z,DG-FTRBQC1X22-C-4K-B,DG-FTRBQC1X22-C-4K-Z-36,DG-FTRBQC1X22-C-4K-B-36"
2711,DG-AFS30Q,"DG-AFS30QA1X100-U-3K-LZ,DG-AFS30QA1X100-U-3K-LB,DG-AFS30QA1X100-U-4K-CZ,DG-AFS30QA1X100-U-4K-CB,DG-AFS30QA1X100-U-4K-LZ,DG-AFS30QA1X100-U-4K-LB,DG-AFS30QA1X100-U-5K-CZ,DG-AFS30QA1X100-U-5K-CB,DG-AFS30QA1X100-U-5K-LZ,DG-AFS30QA1X100-U-5K-LB,DG-AFS30QA1X100-H-3K-CZ,DG-AFS30QA1X100-H-3K-CB,DG-AFS30QA1X100-H-3K-LZ,DG-AFS30QA1X100-H-3K-LB,DG-AFS30QA1X100-H-4K-CZ,DG-AFS30QA1X100-H-4K-CB,DG-AFS30QA1X100-H-4K-LZ,DG-AFS30QA1X100-H-4K-LB,DG-AFS30QA1X100-H-5K-CZ,DG-AFS30QA1X100-H-5K-CB,DG-AFS30QA1X100-H-5K-LZ,DG-AFS30QA1X100-H-5K-LB,DG-AFS30QA1X140-U-3K-CZ,DG-AFS30QA1X140-U-3K-CB,DG-AFS30QA1X140-U-3K-LZ,DG-AFS30QA1X140-U-3K-LB,DG-AFS30QA1X140-U-4K-CZ,DG-AFS30QA1X140-U-4K-CB,DG-AFS30QA1X140-U-4K-LZ,DG-AFS30QA1X140-U-4K-LB,DG-AFS30QA1X140-U-5K-CZ,DG-AFS30QA1X140-U-5K-CB,DG-AFS30QA1X140-U-5K-LZ,DG-AFS30QA1X140-U-5K-LB,DG-AFS30QA1X140-H-3K-CZ,DG-AFS30QA1X140-H-3K-CB,DG-AFS30QA1X140-H-3K-LZ,DG-AFS30QA1X140-H-3K-LB,DG-AFS30QA1X140-H-4K-CZ,DG-AFS30QA1X140-H-4K-CB,DG-AFS30QA1X140-H-4K-LZ,DG-AFS30QA1X140-H-4K-LB,DG-AFS30QA1X140-H-5K-CZ,DG-AFS30QA1X140-H-5K-CB,DG-AFS30QA1X140-H-5K-LZ,DG-AFS30QA1X140-H-5K-LB,DG-AFS30QB1X37-U-3K-CZ,DG-AFS30QB1X37-U-3K-CB,DG-AFS30QB1X37-U-3K-LZ,DG-AFS30QB1X37-U-3K-LB"
2866,DG-AFS32Q,"DG-AFS32Q-C1X37-U-5KB,DG-AFS32Q-C1X37-H-3KB,DG-AFS32Q-C1X37-H-4KB,DG-AFS32Q-C1X37-H-5KB,DG-AFS32Q-C1X65-U-3KB,DG-AFS32Q-C1X65-U-4KB,DG-AFS32Q-C1X65-U-5KB,DG-AFS32Q-C1X65-H-3KB,DG-AFS32Q-C1X65-H-4KB,DG-AFS32Q-C1X65-H-5KB,DG-AFS32Q-C1X100-U-3KB,DG-AFS32Q-C1X100-U-4KB,DG-AFS32Q-C1X100-U-5KB,DG-AFS32Q-C1X100-H-3KB,DG-AFS32Q-C1X100-H-4KB,DG-AFS32Q-C1X100-H-5KB,DG-AFS32Q-C1X140-U-3KB,DG-AFS32Q-C1X140-U-4KB,DG-AFS32Q-C1X140-U-5KB,DG-AFS32Q-C1X140-H-3KB,DG-AFS32Q-C1X140-H-4KB,DG-AFS32Q-C1X140-H-5KB,DG-AFS32Q-D1X37-U-3KB,DG-AFS32Q-D1X37-U-4KB,DG-AFS32Q-D1X37-U-5KB,DG-AFS32Q-D1X37-H-3KB,DG-AFS32Q-D1X37-H-4KB,DG-AFS32Q-D1X37-H-5KB,DG-AFS32Q-D1X65-U-3KB,DG-AFS32Q-D1X65-U-4KB,DG-AFS32Q-D1X65-U-5KB,DG-AFS32Q-D1X65-H-3KB,DG-AFS32Q-D1X65-H-4KB,DG-AFS32Q-D1X65-H-5KB,DG-AFS32Q-D1X100-U-3KB,DG-AFS32Q-D1X100-U-4KB,DG-AFS32Q-D1X100-U-5KB,DG-AFS32Q-D1X100-H-3KB,DG-AFS32Q-D1X100-H-4KB,DG-AFS32Q-D1X100-H-5KB,DG-AFS32Q-D1X140-U-3KB,DG-AFS32Q-D1X140-U-4KB,DG-AFS32Q-D1X140-U-5KB,DG-AFS32Q-D1X140-H-3KB,DG-AFS32Q-D1X140-H-4KB,DG-AFS32Q-D1X140-H-5KB,DG-AFS32Q-F1X37-U-3KB,DG-AFS32Q-F1X37-U-4KB,DG-AFS32Q-F1X37-U-5KB,DG-AFS32Q-F1X37-H-3KB"
2913,DG-AFR30Q,"DG-AFR30Q-C1X37-U-5K,DG-AFR30Q-C1X37-H-3K,DG-AFR30Q-C1X37-H-4K,DG-AFR30Q-C1X37-H-5K,DG-AFR30Q-C1X65-U-3K,DG-AFR30Q-C1X65-U-4K,DG-AFR30Q-C1X65-U-5K,DG-AFR30Q-C1X65-H-3K,DG-AFR30Q-C1X65-H-4K,DG-AFR30Q-C1X65-H-5K,DG-AFR30Q-C1X100-U-3K,DG-AFR30Q-C1X100-U-4K,DG-AFR30Q-C1X100-U-5K,DG-AFR30Q-C1X100-H-3K,DG-AFR30Q-C1X100-H-4K,DG-AFR30Q-C1X100-H-5K,DG-AFR30Q-C1X140-U-3K,DG-AFR30Q-C1X140-U-4K,DG-AFR30Q-C1X140-U-5K,DG-AFR30Q-C1X140-H-3K,DG-AFR30Q-C1X140-H-4K,DG-AFR30Q-C1X140-H-5K,DG-AFR30Q-D1X37-U-3K,DG-AFR30Q-D1X37-U-4K,DG-AFR30Q-D1X37-U-5K,DG-AFR30Q-D1X37-H-3K,DG-AFR30Q-D1X37-H-4K,DG-AFR30Q-D1X37-H-5K,DG-AFR30Q-D1X65-U-3K,DG-AFR30Q-D1X65-U-4K,DG-AFR30Q-D1X65-U-5K,DG-AFR30Q-D1X65-H-3K,DG-AFR30Q-D1X65-H-4K,DG-AFR30Q-D1X65-H-5K,DG-AFR30Q-D1X100-U-3K,DG-AFR30Q-D1X100-U-4K,DG-AFR30Q-D1X100-U-5K,DG-AFR30Q-D1X100-H-3K,DG-AFR30Q-D1X100-H-4K,DG-AFR30Q-D1X100-H-5K,DG-AFR30Q-D1X140-U-3K,DG-AFR30Q-D1X140-U-4K,DG-AFR30Q-D1X140-U-5K,DG-AFR30Q-D1X140-H-3K,DG-AFR30Q-D1X140-H-4K,DG-AFR30Q-D1X140-H-5K,DG-AFR30Q-F1X37-U-3K,DG-AFR30Q-F1X37-U-4K,DG-AFR30Q-F1X37-U-5K,DG-AFR30Q-F1X37-H-3K"
2920,DG-AFS31Q,"DG-AFS31Q-B1X37-U-4K-CB,DG-AFS31Q-B1X37-U-4K-LB,DG-AFS31Q-B1X37-U-5K-CB,DG-AFS31Q-B1X37-U-5K-LB,DG-AFS31Q-B1X37-H-3K-CB,DG-AFS31Q-B1X37-H-3K-LB,DG-AFS31Q-B1X37H-4K-CB,DG-AFS31Q-B1X37-H-4K-LB,DG-AFS31Q-B1X37-H-5K-CB,DG-AFS31Q-B1X37-H-5K-LB,DG-AFS31Q-B1X65-U-3K-CB,DG-AFS31Q-B1X65-U-3K-LB,DG-AFS31Q-B1X65-U-4K-CB,DG-AFS31Q-B1X65-U-4K-LB,DG-AFS31Q-B1X65-U-5K-CB,DG-AFS31Q-B1X65-U-5K-LB,DG-AFS31Q-B1X65-H-3K-CB,DG-AFS31Q-B1X65-H-3K-LB,DG-AFS31Q-B1X65H-4K-CB,DG-AFS31Q-B1X65-H-4K-LB,DG-AFS31Q-B1X65-H-5K-CB,DG-AFS31Q-B1X65-H-5K-LB,DG-AFS31Q-B1X100-U-3K-CB,DG-AFS31Q-B1X100-U-3K-LB,DG-AFS31Q-B1X100-U-4K-CB,DG-AFS31Q-B1X100-U-4K-LB,DG-AFS31Q-B1X100-U-5K-CB,DG-AFS31Q-B1X100-U-5K-LB,DG-AFS31Q-B1X100-H-3K-CB,DG-AFS31Q-B1X100-H-3K-LB,DG-AFS31Q-B1X100H-4K-CB,DG-AFS31Q-B1X100-H-4K-LB,DG-AFS31Q-B1X100-H-5K-CB,DG-AFS31Q-B1X100-H-5K-LB,DG-AFS31Q-B1X140-U-3K-CB,DG-AFS31Q-B1X140-U-3K-LB,DG-AFS31Q-B1X140-U-4K-CB,DG-AFS31Q-B1X140-U-4K-LB,DG-AFS31Q-B1X140-U-5K-CB,DG-AFS31Q-B1X140-U-5K-LB,DG-AFS31Q-B1X140-H-3K-CB,DG-AFS31Q-B1X140-H-3K-LB,DG-AFS31Q-B1X140H-4K-CB,DG-AFS31Q-B1X140-H-4K-LB,DG-AFS31Q-B1X140-H-5K-CB,DG-AFS31Q-B1X140-H-5K-LB,DG-AFS31Q-C1X37-U-3K-CB,DG-AFS31Q-C1X37-U-3K-LB,DG-AFS31Q-C1X37-U-4K-CB,DG-AFS31Q-C1X37-U-4K-LB"
2962,DG-SBQ,"DG-SBQ-C1X15-U-5K-Z-30,DG-SBQ-C1X15-U-5K-B-,DG-SBQ-C1X15-U-5K-B-36,DG-SBQ-C1X15-U-5K-B-30,DG-SBQ-C1X15-C-3K-Z-,DG-SBQ-C1X15-C-3K-Z-36,DG-SBQ-C1X15-C-3K-Z-30,DG-SBQ-C1X15-C-3K-B-,DG-SBQ-C1X15-C-3K-B-36,DG-SBQ-C1X15-C-3K-B-30,DG-SBQ-C1X15-C-4K-Z-,DG-SBQ-C1X15-C-4K-Z-36,DG-SBQ-C1X15-C-4K-Z-30,DG-SBQ-C1X15-C-4K-B-,DG-SBQ-C1X15-C-4K-B-36,DG-SBQ-C1X15-C-4K-B-30,DG-SBQ-C1X15-C-5K-Z-,DG-SBQ-C1X15-C-5K-Z-36,DG-SBQ-C1X15-C-5K-Z-30,DG-SBQ-C1X15-C-5K-B-,DG-SBQ-C1X15-C-5K-B-36,DG-SBQ-C1X15-C-5K-B-30,DG-SBQ-C1X22-U-3K-Z-,DG-SBQ-C1X22-U-3K-Z-36,DG-SBQ-C1X22-U-3K-Z-30,DG-SBQ-C1X22-U-3K-B-,DG-SBQ-C1X22-U-3K-B-36,DG-SBQ-C1X22-U-3K-B-30,DG-SBQ-C1X22-U-4K-Z-,DG-SBQ-C1X22-U-4K-Z-36,DG-SBQ-C1X22-U-4K-Z-30,DG-SBQ-C1X22-U-4K-B-,DG-SBQ-C1X22-U-4K-B-36,DG-SBQ-C1X22-U-4K-B-30,DG-SBQ-C1X22-U-5K-Z-,DG-SBQ-C1X22-U-5K-Z-36,DG-SBQ-C1X22-U-5K-Z-30,DG-SBQ-C1X22-U-5K-B-,DG-SBQ-C1X22-U-5K-B-36,DG-SBQ-C1X22-U-5K-B-30,DG-SBQ-C1X22-C-3K-Z-,DG-SBQ-C1X22-C-3K-Z-36,DG-SBQ-C1X22-C-3K-Z-30,DG-SBQ-C1X22-C-3K-B-,DG-SBQ-C1X22-C-3K-B-36,DG-SBQ-C1X22-C-3K-B-30,DG-SBQ-C1X22-C-4K-Z-,DG-SBQ-C1X22-C-4K-Z-36,DG-SBQ-C1X22-C-4K-Z-30,DG-SBQ-C1X22-C-4K-B-"
3024,TF-VAN24L,"TF-VAN24L-S28W2000LDMV-35K-TO,TF-VAN24L-S28W2000LDMV-35K-WM,TF-VAN24L-S28W2000LDMV-35K-BW,TF-VAN24L-S28W2000LDMV-35K-BG,TF-VAN24L-S28W2000LDMV-40K-SW,TF-VAN24L-S28W2000LDMV-40K-IV,TF-VAN24L-S28W2000LDMV-40K-VG,TF-VAN24L-S28W2000LDMV-40K-PM,TF-VAN24L-S28W2000LDMV-40K-AL,TF-VAN24L-S28W2000LDMV-40K-TO,TF-VAN24L-S28W2000LDMV-40K-WM,TF-VAN24L-S28W2000LDMV-40K-BW,TF-VAN24L-S28W2000LDMV-40K-BG,TF-VAN24L-S28W2000LDMV-50K-SW,TF-VAN24L-S28W2000LDMV-50K-IV,TF-VAN24L-S28W2000LDMV-50K-VG,TF-VAN24L-S28W2000LDMV-50K-PM,TF-VAN24L-S28W2000LDMV-50K-AL,TF-VAN24L-S28W2000LDMV-50K-TO,TF-VAN24L-S28W2000LDMV-50K-WM,TF-VAN24L-S28W2000LDMV-50K-BW,TF-VAN24L-S28W2000LDMV-50K-BG"
