product_id,parent_sku,child_sku
2711,DG-AFS30Q,"DG-AFS30QC1X100-U-5K-LZ,DG-AFS30QC1X100-U-5K-LB,DG-AFS30QC1X100-H-3K-CZ,DG-AFS30QC1X100-H-3K-CB,DG-AFS30QC1X100-H-3K-LZ,DG-AFS30QC1X100-H-3K-LB,DG-AFS30QC1X100-H-4K-CZ,DG-AFS30QC1X100-H-4K-CB,DG-AFS30QC1X100-H-4K-LZ,DG-AFS30QC1X100-H-4K-LB,DG-AFS30QC1X100-H-5K-CZ,DG-AFS30QC1X100-H-5K-CB,DG-AFS30QC1X100-H-5K-LZ,DG-AFS30QC1X100-H-5K-LB,DG-AFS30QC1X140-U-3K-CZ,DG-AFS30QC1X140-U-3K-CB,DG-AFS30QC1X140-U-3K-LZ,DG-AFS30QC1X140-U-3K-LB,DG-AFS30QC1X140-U-4K-CZ,DG-AFS30QC1X140-U-4K-CB,DG-AFS30QC1X140-U-4K-LZ,DG-AFS30QC1X140-U-4K-LB,DG-AFS30QC1X140-U-5K-CZ,DG-AFS30QC1X140-U-5K-CB,DG-AFS30QC1X140-U-5K-LZ,DG-AFS30QC1X140-U-5K-LB,DG-AFS30QC1X140-H-3K-CZ,DG-AFS30QC1X140-H-3K-CB,DG-AFS30QC1X140-H-3K-LZ,DG-AFS30QC1X140-H-3K-LB,DG-AFS30QC1X140-H-4K-CZ,DG-AFS30QC1X140-H-4K-CB,DG-AFS30QC1X140-H-4K-LZ,DG-AFS30QC1X140-H-4K-LB,DG-AFS30QC1X140-H-5K-CZ,DG-AFS30QC1X140-H-5K-CB,DG-AFS30QC1X140-H-5K-LZ,DG-AFS30QC1X140-H-5K-LB,DG-AFS30QD1X37-U-3K-CZ,DG-AFS30QD1X37-U-3K-CB,DG-AFS30QD1X37-U-3K-LZ,DG-AFS30QD1X37-U-3K-LB,DG-AFS30QD1X37-U-4K-CZ,DG-AFS30QD1X37-U-4K-CB,DG-AFS30QD1X37-U-4K-LZ,DG-AFS30QD1X37-U-4K-LB,DG-AFS30QD1X37-U-5K-CZ,DG-AFS30QD1X37-U-5K-CB,DG-AFS30QD1X37-U-5K-LZ,DG-AFS30QD1X37-U-5K-LB"
3206,LT-LEDH-SR8P-UZTD,"LT-LEDH-SR8P-G2-12-32-827-UZTD-BR,LT-LEDH-SR8P-G2-18-32-827-UZTD-BR,LT-LEDH-SR8P-G2-24-32-827-UZTD-BR,LT-LEDH-SR8P-G2-36-32-827-UZTD-BR,LT-LEDH-SR8P-G2-48-32-827-UZTD-BR,LT-LEDH-SR8P-G2-12-32-827-UZTD-SI,LT-LEDH-SR8P-G2-18-32-827-UZTD-SI,LT-LEDH-SR8P-G2-24-32-827-UZTD-SI,LT-LEDH-SR8P-G2-36-32-827-UZTD-SI,LT-LEDH-SR8P-G2-48-32-827-UZTD-SI,LT-LEDH-SR8P-G2-12-32-830-UZTD-WH,LT-LEDH-SR8P-G2-18-32-830-UZTD-WH,LT-LEDH-SR8P-G2-24-32-830-UZTD-WH,LT-LEDH-SR8P-G2-36-32-830-UZTD-WH,LT-LEDH-SR8P-G2-48-32-830-UZTD-WH,LT-LEDH-SR8P-G2-12-32-830-UZTD-BK,LT-LEDH-SR8P-G2-18-32-830-UZTD-BK,LT-LEDH-SR8P-G2-24-32-830-UZTD-BK,LT-LEDH-SR8P-G2-36-32-830-UZTD-BK,LT-LEDH-SR8P-G2-48-32-830-UZTD-BK,LT-LEDH-SR8P-G2-12-32-830-UZTD-BR,LT-LEDH-SR8P-G2-18-32-830-UZTD-BR,LT-LEDH-SR8P-G2-24-32-830-UZTD-BR,LT-LEDH-SR8P-G2-36-32-830-UZTD-BR,LT-LEDH-SR8P-G2-48-32-830-UZTD-BR,LT-LEDH-SR8P-G2-12-32-830-UZTD-SI,LT-LEDH-SR8P-G2-18-32-830-UZTD-SI,LT-LEDH-SR8P-G2-24-32-830-UZTD-SI,LT-LEDH-SR8P-G2-36-32-830-UZTD-SI,LT-LEDH-SR8P-G2-48-32-830-UZTD-SI,LT-LEDH-SR8P-G2-12-32-835-UZTD-WH,LT-LEDH-SR8P-G2-18-32-835-UZTD-WH,LT-LEDH-SR8P-G2-24-32-835-UZTD-WH,LT-LEDH-SR8P-G2-36-32-835-UZTD-WH,LT-LEDH-SR8P-G2-48-32-835-UZTD-WH,LT-LEDH-SR8P-G2-12-32-835-UZTD-BK,LT-LEDH-SR8P-G2-18-32-835-UZTD-BK,LT-LEDH-SR8P-G2-24-32-835-UZTD-BK,LT-LEDH-SR8P-G2-36-32-835-UZTD-BK,LT-LEDH-SR8P-G2-48-32-835-UZTD-BK,LT-LEDH-SR8P-G2-12-32-835-UZTD-BR,LT-LEDH-SR8P-G2-18-32-835-UZTD-BR,LT-LEDH-SR8P-G2-24-32-835-UZTD-BR,LT-LEDH-SR8P-G2-36-32-835-UZTD-BR,LT-LEDH-SR8P-G2-48-32-835-UZTD-BR,LT-LEDH-SR8P-G2-12-32-835-UZTD-SI,LT-LEDH-SR8P-G2-18-32-835-UZTD-SI,LT-LEDH-SR8P-G2-24-32-835-UZTD-SI,LT-LEDH-SR8P-G2-36-32-835-UZTD-SI,LT-LEDH-SR8P-G2-48-32-835-UZTD-SI"
5746,LT-LEDH-SR6P-UZTD,"LT-LEDH-SR6P-G2-12-10-835-UZTD-BR,LT-LEDH-SR6P-G2-12-10-835-UZTD-SI,LT-LEDH-SR6P-G2-12-10-840-UZTD-WH,LT-LEDH-SR6P-G2-12-10-840-UZTD-BL,LT-LEDH-SR6P-G2-12-10-840-UZTD-BR,LT-LEDH-SR6P-G2-12-10-840-UZTD-SI,LT-LEDH-SR6P-G2-18-10-827-UZTD-WH,LT-LEDH-SR6P-G2-18-10-827-UZTD-BL,LT-LEDH-SR6P-G2-18-10-827-UZTD-BR,LT-LEDH-SR6P-G2-18-10-827-UZTD-SI,LT-LEDH-SR6P-G2-18-10-830-UZTD-WH,LT-LEDH-SR6P-G2-18-10-830-UZTD-BL,LT-LEDH-SR6P-G2-18-10-830-UZTD-BR,LT-LEDH-SR6P-G2-18-10-830-UZTD-SI,LT-LEDH-SR6P-G2-18-10-835-UZTD-WH,LT-LEDH-SR6P-G2-18-10-835-UZTD-BL,LT-LEDH-SR6P-G2-18-10-835-UZTD-BR,LT-LEDH-SR6P-G2-18-10-835-UZTD-SI,LT-LEDH-SR6P-G2-18-10-840-UZTD-WH,LT-LEDH-SR6P-G2-18-10-840-UZTD-BL,LT-LEDH-SR6P-G2-18-10-840-UZTD-BR,LT-LEDH-SR6P-G2-18-10-840-UZTD-SI,LT-LEDH-SR6P-G2-24-10-827-UZTD-WH,LT-LEDH-SR6P-G2-24-10-827-UZTD-BL,LT-LEDH-SR6P-G2-24-10-827-UZTD-BR,LT-LEDH-SR6P-G2-24-10-827-UZTD-SI,LT-LEDH-SR6P-G2-24-10-830-UZTD-WH,LT-LEDH-SR6P-G2-24-10-830-UZTD-BL,LT-LEDH-SR6P-G2-24-10-830-UZTD-BR,LT-LEDH-SR6P-G2-24-10-830-UZTD-SI,LT-LEDH-SR6P-G2-24-10-835-UZTD-WH,LT-LEDH-SR6P-G2-24-10-835-UZTD-BL,LT-LEDH-SR6P-G2-24-10-835-UZTD-BR,LT-LEDH-SR6P-G2-24-10-835-UZTD-SI,LT-LEDH-SR6P-G2-24-10-840-UZTD-WH,LT-LEDH-SR6P-G2-24-10-840-UZTD-BL,LT-LEDH-SR6P-G2-24-10-840-UZTD-BR,LT-LEDH-SR6P-G2-24-10-840-UZTD-SI,LT-LEDH-SR6P-G2-36-10-827-UZTD-WH,LT-LEDH-SR6P-G2-36-10-827-UZTD-BL,LT-LEDH-SR6P-G2-36-10-827-UZTD-BR,LT-LEDH-SR6P-G2-36-10-827-UZTD-SI,LT-LEDH-SR6P-G2-36-10-830-UZTD-WH,LT-LEDH-SR6P-G2-36-10-830-UZTD-BL,LT-LEDH-SR6P-G2-36-10-830-UZTD-BR,LT-LEDH-SR6P-G2-36-10-830-UZTD-SI,LT-LEDH-SR6P-G2-36-10-835-UZTD-WH,LT-LEDH-SR6P-G2-36-10-835-UZTD-BL,LT-LEDH-SR6P-G2-36-10-835-UZTD-BR,LT-LEDH-SR6P-G2-36-10-835-UZTD-SI"
5801,LT-LEDH-SR6P-S-UZTD,"LT-LEDH-SR6P-G2-S12-10-835-UZTD-BR,LT-LEDH-SR6P-G2-S12-10-835-UZTD-SI,LT-LEDH-SR6P-G2-S12-10-840-UZTD-WH,LT-LEDH-SR6P-G2-S12-10-840-UZTD-BL,LT-LEDH-SR6P-G2-S12-10-840-UZTD-BR,LT-LEDH-SR6P-G2-S12-10-840-UZTD-SI,LT-LEDH-SR6P-G2-S18-10-827-UZTD-WH,LT-LEDH-SR6P-G2-S18-10-827-UZTD-BL,LT-LEDH-SR6P-G2-S18-10-827-UZTD-BR,LT-LEDH-SR6P-G2-S18-10-827-UZTD-SI,LT-LEDH-SR6P-G2-S18-10-830-UZTD-WH,LT-LEDH-SR6P-G2-S18-10-830-UZTD-BL,LT-LEDH-SR6P-G2-S18-10-830-UZTD-BR,LT-LEDH-SR6P-G2-S18-10-830-UZTD-SI,LT-LEDH-SR6P-G2-S18-10-835-UZTD-WH,LT-LEDH-SR6P-G2-S18-10-835-UZTD-BL,LT-LEDH-SR6P-G2-S18-10-835-UZTD-BR,LT-LEDH-SR6P-G2-S18-10-835-UZTD-SI,LT-LEDH-SR6P-G2-S18-10-840-UZTD-WH,LT-LEDH-SR6P-G2-S18-10-840-UZTD-BL,LT-LEDH-SR6P-G2-S18-10-840-UZTD-BR,LT-LEDH-SR6P-G2-S18-10-840-UZTD-SI,LT-LEDH-SR6P-G2-S24-10-827-UZTD-WH,LT-LEDH-SR6P-G2-S24-10-827-UZTD-BL,LT-LEDH-SR6P-G2-S24-10-827-UZTD-BR,LT-LEDH-SR6P-G2-S24-10-827-UZTD-SI,LT-LEDH-SR6P-G2-S24-10-830-UZTD-WH,LT-LEDH-SR6P-G2-S24-10-830-UZTD-BL,LT-LEDH-SR6P-G2-S24-10-830-UZTD-BR,LT-LEDH-SR6P-G2-S24-10-830-UZTD-SI,LT-LEDH-SR6P-G2-S24-10-835-UZTD-WH,LT-LEDH-SR6P-G2-S24-10-835-UZTD-BL,LT-LEDH-SR6P-G2-S24-10-835-UZTD-BR,LT-LEDH-SR6P-G2-S24-10-835-UZTD-SI,LT-LEDH-SR6P-G2-S24-10-840-UZTD-WH,LT-LEDH-SR6P-G2-S24-10-840-UZTD-BL,LT-LEDH-SR6P-G2-S24-10-840-UZTD-BR,LT-LEDH-SR6P-G2-S24-10-840-UZTD-SI,LT-LEDH-SR6P-G2-S36-10-827-UZTD-WH,LT-LEDH-SR6P-G2-S36-10-827-UZTD-BL,LT-LEDH-SR6P-G2-S36-10-827-UZTD-BR,LT-LEDH-SR6P-G2-S36-10-827-UZTD-SI,LT-LEDH-SR6P-G2-S36-10-830-UZTD-WH,LT-LEDH-SR6P-G2-S36-10-830-UZTD-BL,LT-LEDH-SR6P-G2-S36-10-830-UZTD-BR,LT-LEDH-SR6P-G2-S36-10-830-UZTD-SI,LT-LEDH-SR6P-G2-S36-10-835-UZTD-WH,LT-LEDH-SR6P-G2-S36-10-835-UZTD-BL,LT-LEDH-SR6P-G2-S36-10-835-UZTD-BR,LT-LEDH-SR6P-G2-S36-10-835-UZTD-SI"
5882,LT-LEDH-SR6P-C-UZTD,"LT-LEDH-SR6P-G2-C128-10-835-UZTD-BR,LT-LEDH-SR6P-G2-C128-10-835-UZTD-SI,LT-LEDH-SR6P-G2-C128-10-840-UZTD-WH,LT-LEDH-SR6P-G2-C128-10-840-UZTD-BL,LT-LEDH-SR6P-G2-C128-10-840-UZTD-BR,LT-LEDH-SR6P-G2-C128-10-840-UZTD-SI"
5983,LT-LEDH-SR8P-S-UZTD,"LT-LEDH-SR8P-G2-S12-32-827-UZTD-BR,LT-LEDH-SR8P-G2-S18-32-827-UZTD-BR,LT-LEDH-SR8P-G2-S24-32-827-UZTD-BR,LT-LEDH-SR8P-G2-S36-32-827-UZTD-BR,LT-LEDH-SR8P-G2-S48-32-827-UZTD-BR,LT-LEDH-SR8P-G2-S12-32-827-UZTD-SI,LT-LEDH-SR8P-G2-S18-32-827-UZTD-SI,LT-LEDH-SR8P-G2-S24-32-827-UZTD-SI,LT-LEDH-SR8P-G2-S36-32-827-UZTD-SI,LT-LEDH-SR8P-G2-S48-32-827-UZTD-SI,LT-LEDH-SR8P-G2-S12-32-830-UZTD-WH,LT-LEDH-SR8P-G2-S18-32-830-UZTD-WH,LT-LEDH-SR8P-G2-S24-32-830-UZTD-WH,LT-LEDH-SR8P-G2-S36-32-830-UZTD-WH,LT-LEDH-SR8P-G2-S48-32-830-UZTD-WH,LT-LEDH-SR8P-G2-S12-32-830-UZTD-BK,LT-LEDH-SR8P-G2-S18-32-830-UZTD-BK,LT-LEDH-SR8P-G2-S24-32-830-UZTD-BK,LT-LEDH-SR8P-G2-S36-32-830-UZTD-BK,LT-LEDH-SR8P-G2-S48-32-830-UZTD-BK,LT-LEDH-SR8P-G2-S12-32-830-UZTD-BR,LT-LEDH-SR8P-G2-S18-32-830-UZTD-BR,LT-LEDH-SR8P-G2-S24-32-830-UZTD-BR,LT-LEDH-SR8P-G2-S36-32-830-UZTD-BR,LT-LEDH-SR8P-G2-S48-32-830-UZTD-BR,LT-LEDH-SR8P-G2-S12-32-830-UZTD-SI,LT-LEDH-SR8P-G2-S18-32-830-UZTD-SI,LT-LEDH-SR8P-G2-S24-32-830-UZTD-SI,LT-LEDH-SR8P-G2-S36-32-830-UZTD-SI,LT-LEDH-SR8P-G2-S48-32-830-UZTD-SI,LT-LEDH-SR8P-G2-S12-32-835-UZTD-WH,LT-LEDH-SR8P-G2-S18-32-835-UZTD-WH,LT-LEDH-SR8P-G2-S24-32-835-UZTD-WH,LT-LEDH-SR8P-G2-S36-32-835-UZTD-WH,LT-LEDH-SR8P-G2-S48-32-835-UZTD-WH,LT-LEDH-SR8P-G2-S12-32-835-UZTD-BK,LT-LEDH-SR8P-G2-S18-32-835-UZTD-BK,LT-LEDH-SR8P-G2-S24-32-835-UZTD-BK,LT-LEDH-SR8P-G2-S36-32-835-UZTD-BK,LT-LEDH-SR8P-G2-S48-32-835-UZTD-BK,LT-LEDH-SR8P-G2-S12-32-835-UZTD-BR,LT-LEDH-SR8P-G2-S18-32-835-UZTD-BR,LT-LEDH-SR8P-G2-S24-32-835-UZTD-BR,LT-LEDH-SR8P-G2-S36-32-835-UZTD-BR,LT-LEDH-SR8P-G2-S48-32-835-UZTD-BR,LT-LEDH-SR8P-G2-S12-32-835-UZTD-SI,LT-LEDH-SR8P-G2-S18-32-835-UZTD-SI,LT-LEDH-SR8P-G2-S24-32-835-UZTD-SI,LT-LEDH-SR8P-G2-S36-32-835-UZTD-SI,LT-LEDH-SR8P-G2-S48-32-835-UZTD-SI"
6036,LT-LEDH-SR8P-C-UZTD,"LT-LEDH-SR8P-G2-C108-32-840-UZTD-BR,LT-LEDH-SR8P-G2-C128-32-840-UZTD-BR,LT-LEDH-SR8P-G2-C32-32-840-UZTD-SI,LT-LEDH-SR8P-G2-C58-32-840-UZTD-SI,LT-LEDH-SR8P-G2-C108-32-840-UZTD-SI,LT-LEDH-SR8P-G2-C128-32-840-UZTD-SI,LT-LEDH-SR8P-G2-C32-44-827-UZTD-WH,LT-LEDH-SR8P-G2-C32-44-827-UZTD-BL,LT-LEDH-SR8P-G2-C32-44-827-UZTD-BR,LT-LEDH-SR8P-G2-C32-44-827-UZTD-SI,LT-LEDH-SR8P-G2-C32-44-830-UZTD-WH,LT-LEDH-SR8P-G2-C32-44-830-UZTD-BL,LT-LEDH-SR8P-G2-C32-44-830-UZTD-BR,LT-LEDH-SR8P-G2-C32-44-830-UZTD-SI,LT-LEDH-SR8P-G2-C32-44-835-UZTD-WH,LT-LEDH-SR8P-G2-C32-44-835-UZTD-BL,LT-LEDH-SR8P-G2-C32-44-835-UZTD-BR,LT-LEDH-SR8P-G2-C32-44-835-UZTD5-SI,LT-LEDH-SR8P-G2-C32-44-840-UZTD-WH,LT-LEDH-SR8P-G2-C32-44-840-UZTD-BL,LT-LEDH-SR8P-G2-C32-44-840-UZTD-BR,LT-LEDH-SR8P-G2-C32-44-840-UZTD-SI,LT-LEDH-SR8P-G2-C58-44-827-UZTD-WH,LT-LEDH-SR8P-G2-C58-44-827-UZTD-BL,LT-LEDH-SR8P-G2-C58-44-827-UZTD-BR,LT-LEDH-SR8P-G2-C58-44-827-UZTD-SI,LT-LEDH-SR8P-G2-C58-44-830-UZTD-WH,LT-LEDH-SR8P-G2-C58-44-830-UZTD-BL,LT-LEDH-SR8P-G2-C58-44-830-UZTD-BR,LT-LEDH-SR8P-G2-C58-44-830-UZTD-SI,LT-LEDH-SR8P-G2-C58-44-835-UZTD-WH,LT-LEDH-SR8P-G2-C58-44-835-UZTD-BL,LT-LEDH-SR8P-G2-C58-44-835-UZTD-BR,LT-LEDH-SR8P-G2-C58-44-835-UZTD-SI,LT-LEDH-SR8P-G2-C58-44-840-UZTD-WH,LT-LEDH-SR8P-G2-C58-44-840-UZTD-BL,LT-LEDH-SR8P-G2-C58-44-840-UZTD-BR,LT-LEDH-SR8P-G2-C58-44-840-UZTD-SI,LT-LEDH-SR8P-G2-C108-44-827-UZTD-WH,LT-LEDH-SR8P-G2-C108-44-827-UZTD-BL,LT-LEDH-SR8P-G2-C108-44-827-UZTD-BR,LT-LEDH-SR8P-G2-C108-44-827-UZTD-SI,LT-LEDH-SR8P-G2-C108-44-830-UZTD-WH,LT-LEDH-SR8P-G2-C108-44-830-UZTD-BL,LT-LEDH-SR8P-G2-C108-44-830-UZTD-BR,LT-LEDH-SR8P-G2-C108-44-830-UZTD-SI,LT-LEDH-SR8P-G2-C108-44-835-UZTD-WH,LT-LEDH-SR8P-G2-C108-44-835-UZTD-BL,LT-LEDH-SR8P-G2-C108-44-835-UZTD-BR,LT-LEDH-SR8P-G2-C108-44-835-UZTD-SI"
7904,LT-STS-2330,"LT-STS-2330-30W-3500K-24-Halo-WH,LT-STS-2330-30W-3500K-24-Halo-BK,LT-STS-2330-30W-3500K-24-Capri-WH,LT-STS-2330-30W-3500K-24-Capri-BK,LT-STS-2330-30W-3500K-24-Lightolier-WH,LT-STS-2330-30W-3500K-24-Lightolier-BK,LT-STS-2330-30W-3500K-40-Juno-WH,LT-STS-2330-30W-3500K-40-Juno-BK,LT-STS-2330-30W-3500K-40-Halo-WH,LT-STS-2330-30W-3500K-40-Halo-BK,LT-STS-2330-30W-3500K-40-Capri-WH,LT-STS-2330-30W-3500K-40-Capri-BK,LT-STS-2330-30W-3500K-40-Lightolier-WH,LT-STS-2330-30W-3500K-40-Lightolier-BK,LT-STS-2330-30W-4000K-15-Juno-WH,LT-STS-2330-30W-4000K-15-Juno-BK,LT-STS-2330-30W-4000K-15-Halo-WH,LT-STS-2330-30W-4000K-15-Halo-BK,LT-STS-2330-30W-4000K-15-Capri-WH,LT-STS-2330-30W-4000K-15-Capri-BK,LT-STS-2330-30W-4000K-15-Lightolier-WH,LT-STS-2330-30W-4000K-15-Lightolier-BK,LT-STS-2330-30W-4000K-24-Juno-WH,LT-STS-2330-30W-4000K-24-Juno-BK,LT-STS-2330-30W-4000K-24-Halo-WH,LT-STS-2330-30W-4000K-24-Halo-BK,LT-STS-2330-30W-4000K-24-Capri-WH,LT-STS-2330-30W-4000K-24-Capri-BK,LT-STS-2330-30W-4000K-24-Lightolier-WH,LT-STS-2330-30W-4000K-24-Lightolier-BK,LT-STS-2330-30W-4000K-40-Juno-WH,LT-STS-2330-30W-4000K-40-Juno-BK,LT-STS-2330-30W-4000K-40-Halo-WH,LT-STS-2330-30W-4000K-40-Halo-BK,LT-STS-2330-30W-4000K-40-Capri-WH,LT-STS-2330-30W-4000K-40-Capri-BK,LT-STS-2330-30W-4000K-40-Lightolier-WH,LT-STS-2330-30W-4000K-40-Lightolier-BK"
9034,LT-ICED9535,"LT-ICED9535-14-UZTD/TML325RGWW-14-30-W-HC,LT-ICED9535-14-UZTD/TML325RGWW-14-30-W-WH,LT-ICED9535-14-UZTD/TML325RGWW-14-40-N-HC,LT-ICED9535-14-UZTD/TML325RGWW-14-40-N-WH,LT-ICED9535-14-UZTD/TML325RGWW-14-40-M-HC,LT-ICED9535-14-UZTD/TML325RGWW-14-40-M-WH,LT-ICED9535-14-UZTD/TML325RGWW-14-40-W-HC,LT-ICED9535-14-UZTD/TML325RGWW-14-40-W-WH,LT-ICED9535-14-UZTD/TML325RGWW-14-50-N-HC,LT-ICED9535-14-UZTD/TML325RGWW-14-50-N-WH,LT-ICED9535-14-UZTD/TML325RGWW-14-50-M-HC,LT-ICED9535-14-UZTD/TML325RGWW-14-50-M-WH,LT-ICED9535-14-UZTD/TML325RGWW-14-50-W-HC,LT-ICED9535-14-UZTD/TML325RGWW-14-50-W-WH,LT-ICED9535-23-UZTD/TML325RGWW-23-27-N-HC,LT-ICED9535-23-UZTD/TML325RGWW-23-27-N-WH,LT-ICED9535-23-UZTD/TML325RGWW-23-27-M-HC,LT-ICED9535-23-UZTD/TML325RGWW-23-27-M-WH,LT-ICED9535-23-UZTD/TML325RGWW-23-27-W-HC,LT-ICED9535-23-UZTD/TML325RGWW-23-27-W-WH,LT-ICED9535-23-UZTD/TML325RGWW-23-30-N-HC,LT-ICED9535-23-UZTD/TML325RGWW-23-30-N-WH,LT-ICED9535-23-UZTD/TML325RGWW-23-30-M-HC,LT-ICED9535-23-UZTD/TML325RGWW-23-30-M-WH,LT-ICED9535-23-UZTD/TML325RGWW-23-30-W-HC,LT-ICED9535-23-UZTD/TML325RGWW-23-30-W-WH,LT-ICED9535-23-UZTD/TML325RGWW-23-40-N-HC,LT-ICED9535-23-UZTD/TML325RGWW-23-40-N-WH,LT-ICED9535-23-UZTD/TML325RGWW-23-40-M-HC,LT-ICED9535-23-UZTD/TML325RGWW-23-40-M-WH,LT-ICED9535-23-UZTD/TML325RGWW-23-40-W-HC,LT-ICED9535-23-UZTD/TML325RGWW-23-40-W-WH,LT-ICED9535-23-UZTD/TML325RGWW-23-50-N-HC,LT-ICED9535-23-UZTD/TML325RGWW-23-50-N-WH,LT-ICED9535-23-UZTD/TML325RGWW-23-50-M-HC,LT-ICED9535-23-UZTD/TML325RGWW-23-50-M-WH,LT-ICED9535-23-UZTD/TML325RGWW-23-50-W-HC,LT-ICED9535-23-UZTD/TML325RGWW-23-50-W-WH"
9250,MAG-HG-SL,"MAG-HG-SL-240WS3-H-5L3-B-HSL1-YM,MAG-HG-SL-240WS3-H-5L3-B-HSL1-WM,MAG-HG-SL-300WS3-L-3L3-B-PC,MAG-HG-SL-300WS3-L-3L3-B-HSL1-SF,MAG-HG-SL-300WS3-L-3L3-B-HSL1-ADM,MAG-HG-SL-300WS3-L-3L3-B-HSL1-DM,MAG-HG-SL-300WS3-L-3L3-B-HSL1-YM,MAG-HG-SL-300WS3-L-3L3-B-HSL1-WM,MAG-HG-SL-300WS3-L-4L3-B-PC,MAG-HG-SL-300WS3-L-4L3-B-HSL1-SF,MAG-HG-SL-300WS3-L-4L3-B-HSL1-ADM,MAG-HG-SL-300WS3-L-4L3-B-HSL1-DM,MAG-HG-SL-300WS3-L-4L3-B-HSL1-YM,MAG-HG-SL-300WS3-L-4L3-B-HSL1-WM,MAG-HG-SL-300WS3-L-5L3-B-PC,MAG-HG-SL-300WS3-L-5L3-B-HSL1-SF,MAG-HG-SL-300WS3-L-5L3-B-HSL1-ADM,MAG-HG-SL-300WS3-L-5L3-B-HSL1-DM,MAG-HG-SL-300WS3-L-5L3-B-HSL1-YM,MAG-HG-SL-300WS3-L-5L3-B-HSL1-WM,MAG-HG-SL-300WS3-H-3L3-B-PC,MAG-HG-SL-300WS3-H-3L3-B-HSL1-SF,MAG-HG-SL-300WS3-H-3L3-B-HSL1-ADM,MAG-HG-SL-300WS3-H-3L3-B-HSL1-DM,MAG-HG-SL-300WS3-H-3L3-B-HSL1-YM,MAG-HG-SL-300WS3-H-3L3-B-HSL1-WM,MAG-HG-SL-300WS3-H-4L3-B-PC,MAG-HG-SL-300WS3-H-4L3-B-HSL1-SF,MAG-HG-SL-300WS3-H-4L3-B-HSL1-ADM,MAG-HG-SL-300WS3-H-4L3-B-HSL1-DM,MAG-HG-SL-300WS3-H-4L3-B-HSL1-YM,MAG-HG-SL-300WS3-H-4L3-B-HSL1-WM,MAG-HG-SL-300WS3-H-5L3-B-PC,MAG-HG-SL-300WS3-H-5L3-B-HSL1-SF,MAG-HG-SL-300WS3-H-5L3-B-HSL1-ADM,MAG-HG-SL-300WS3-H-5L3-B-HSL1-DM,MAG-HG-SL-300WS3-H-5L3-B-HSL1-YM,MAG-HG-SL-300WS3-H-5L3-B-HSL1-WM,MAG-HG-SL-330WS3-L-3L3-B-PC,MAG-HG-SL-330WS3-L-3L3-B-HSL1-SF,MAG-HG-SL-330WS3-L-3L3-B-HSL1-ADM,MAG-HG-SL-330WS3-L-3L3-B-HSL1-DM,MAG-HG-SL-330WS3-L-3L3-B-HSL1-YM,MAG-HG-SL-330WS3-L-3L3-B-HSL1-WM,MAG-HG-SL-330WS3-L-4L3-B-PC,MAG-HG-SL-330WS3-L-4L3-B-HSL1-SF,MAG-HG-SL-330WS3-L-4L3-B-HSL1-ADM,MAG-HG-SL-330WS3-L-4L3-B-HSL1-DM,MAG-HG-SL-330WS3-L-4L3-B-HSL1-YM,MAG-HG-SL-330WS3-L-4L3-B-HSL1-WM"
