ProductId,Product Name,Product Code/SKU
267,F17T8 Lamps - Case of 25,E-F17T8
655,LIN Series 4 Lamp T8-8ft. Tandem Linear Indirect Lighting with Perforated Body,TF-LINPF2328MV
657,LIN Series 2 Lamp T8 Linear Indirect Lighting with Perforated Body,TF-LINPF232MV
659,LIN Series 4 Lamp T5HO-8ft. Tandem Linear Indirect Lighting with Perforated Body,TF-LINPF2548MV
662,LIN Series 6 Lamp T5HO-8ft. Tandem Linear Indirect Lighting with Perforated Body,TF-LINPF3548MV
664,LIN Series 3 Lamp T5HO Linear Indirect Lighting with Perforated Body,TF-LINPF354MV
690,LIN Series 4 Lamp T5HO-8ft. Tandem Linear Indirect Lighting with Louver Housing,TF-LINLV2548MV
692,LIN Series 2 Lamp T5HO Linear Indirect Lighting with Louver Housing,TF-LINLV254MV
694,LIN Series 6 Lamp T5HO-8ft. Tandem Linear Indirect Lighting with Louver Housing,TF-LINLV3548MV
696,LIN Series 3 Lamp T5HO Linear Indirect Lighting with Louver Housing,TF-LINLV354MV
698,LIN Series 4 Lamp T8-8ft. Tandem Linear Indirect Lighting with Matte White Lens,TF-LINMW2328MV
700,LIN Series 2 Lamp T8 Linear Indirect Lighting with Matte White Lens,TF-LINMW232MV
702,LIN Series 4 Lamp T5HO-8ft. Tandem Linear Indirect Lighting with Matte White Lens,TF-LINMW2548MV
704,LIN Series 2 Lamp T5HO Linear Indirect Lighting with Matte White Lens,TF-LINMW254MV
706,LIN Series 6 Lamp T5HO-8ft. Tandem Linear Indirect Lighting with Matte White Lens,TF-LINMW3548MV
707,LIN Series 3 Lamp T5HO Linear Indirect Lighting with Matte White Lens,TF-LINMW354MV
712,PLIN Series 4 Lamp T8-8ft. Tandem Direct/Indirect Lighting,TF-PLIN2328MV
714,PLIN Series 2 Lamp T8 Direct/Indirect Lighting,TF-PLIN232MV
716,PLIN Series 4 Lamp T5HO-8ft. Tandem Direct/Indirect Lighting,TF-PLIN2548MV
718,PLIN Series 2 Lamp T5HO Direct/Indirect Lighting,TF-PLIN254MV
720,PLIN Series 6 Lamp T5HO-8ft. Tandem Direct/Indirect Lighting,TF-PLIN3548MV
828,2 Lamp 54W-T5HO Harsh Environment Enclosures,TF-CITLB254MV
834,1 Lamp T8 Vandal Resistant Enclosure,TF-CV8001
840,2 Lamp T8 Vandal Resistant Enclosure,TF-CV8002
858,ECL Series 2 Lamp 17W T8 Eclipse & Eclipse Turbo (Matte White Acrylic),TF-ECLMW217S
895,ECL Series 2 Lamp 32W T8 Eclipse & Eclipse Turbo (Matte White Acrylic),TF-ECLMW232S
896,ECL Series 4 Lamp 17W T8 Eclipse & Eclipse Turbo (Matte White Acrylic),TF-ECLMW417S
897,ECL Series 4 Lamp 32W T8 Eclipse & Eclipse Turbo (Matte White Acrylic),TF-ECLMW432S
898,ECL Series 2 Lamp 17W T8 Eclipse & Eclipse Turbo (Prismatic Acrylic),TF-ECLA217S
899,ECL Series 2 Lamp 32W T8 Eclipse & Eclipse Turbo (Prismatic Acrylic),TF-ECLA232S
901,ECL Series 4 Lamp 17W T8 Eclipse & Eclipse Turbo (MicroProfile Diffuser),TF-ECLRE417S
902,ECL Series 4 Lamp 32W T8 Eclipse & Eclipse Turbo (MicroProfile Diffuser),TF-ECLRE432S
957,WLIN Series 4 Lamp T8 8ft.Tandem Direct/Indirect Wall Louver,TF-WLINLV2328MV
959,WLIN Series 2 Lamp T8 Direct/Indirect Wall Louver,TF-WLINLV232MV
960,1 Lamp 17W T8 BKR - Classic Round Silhouette,TF-BKRA117MV
962,WLIN Series 4 Lamp T5HO 8ft. Tandem Direct/Indirect Wall Louver,TF-WLINLV2548MV
964,WLIN Series 2 Lamp T5HO Direct/Indirect Wall Louver,TF-WLINLV254MV
965,WLIN Series 4 Lamp T8 8ft. Tandem Direct/Indirect Wall Matte White Lens,TF-WLINMW2328MV
968,WLIN Series 2 Lamp T8 Direct/Indirect Wall Matte White Lens,TF-WLINMW232MV
970,WLIN Series 4 Lamp T5HO 8ft. Tandem Direct/Indirect Wall Matte White Lens,TF-WLINMW2548MV
973,WLIN Series 2 Lamp T5HO Direct/Indirect Wall Matte White Lens,TF-WLINMW254MV
974,WLIN Series 4 Lamp T8 8ft. Tandem Direct/Indirect Wall Perforated,TF-WLINPF2328MV
976,WLIN Series 2 Lamp T8 Direct/Indirect Wall Perforated,TF-WLINPF232MV
980,WLIN Series 2 Lamp T5HO Direct/Indirect Wall Perforated,TF-WLINPF254MV
981,2 Lamp White Smooth 17W-32W T8 End Cap Bath,TF-VAN
984,1 Lamp 25W T8 BKR - Classic Round Silhouette,TF-BKRA125MV
985,1 Lamp 32W T8 BKR - Classic Round Silhouette,TF-BKRA132MV
1332,24C - 2 x 4 Retrofit Reflector Kit for Troffers,TF-24C2
1374,"Recessed Edge-Lit Exit Sign, Battery Backup, Single Face, Self Diagnostic 120/277V",BL-RELXTE1RCAEM-SDT
1375,LED Exit & Emergency Combo Unit,BL-LEDCXTEU
1540,eLucent CP Series LED Canopy Light Fixture,AT-CPPG
1979,"Nebulite Garden Post Top Area Light, 20W or 35W",NL-TP260
1981,8ft. Slim Strip LED Fixture 90 Watt,ILP-SS8-12L-U
2015,2x4 LED Center Basket Troffer Luminaire,TL-TECBTA-24
2019,2x2 LED Center Basket Troffer Luminaire,TL-TECBTA-22
2057,NBQL Series LED Area Light 75W - 300W,NL-NBQL
2113,High Bay Y Cable Hanging Kit,PS-HB-18Y-PAD
2121,Decorative Wet Location Die Cast LED Emergency Light,BL-DBEL
2122,"Heavy Duty Emergency Light, 50W or 100W",BL-DXR
2124,"High Output LED Emergency Light, Remote Capable",BL-LEDR5HO
2125,HBL4 Series LED Linear High Bay Luminaire,PI-PT-HBL4
2126,Par-Type Thermoplastic Emergency Light,BL-PAR-1
2134,ILP AL Series Slim Profile Aluminum LED Area Light 375 Watt,ILP-AL-375WU
2136,ILP AL Series Slim Profile Aluminum LED Area Light 225 Watt,ILP-AL-225WU
2141,ILP AL Series Slim Profile Aluminum LED Area Light 90 Watt,ILP-AL-90WU
2181,Flat Top 15 Watt LED Bollard Light,ILP-BLFT-15WLED-UNIV-4000K
2224,"Euri Lighting 11 Watt BR30 Directional (Flood) LED Light Bulb, Pack of 25",EL-EB30-11W
2225,"Euri Lighting 22 Watt Omni-Directional LED Light Bulb, 5 Packs",EL-EA21-22W
2227,"Euri Lighting T5 Omni-Directional Hybrid (Type A+B) LED Lamp, Pack of 25",EL-ET5-2
2291,Hazardous Location DuraLED 48-Inch Linear LED Die Cast,DG-HLV4AOQ
2297,15 Watt LPS Replacement PC Amber Round Dome Bollards,DG-DTRBQF1X15UHA
2313,24-Inch Hazardous Location Linear LED Die Cast - Type F Optics,DG-HLV2AOQ
2356,"1x4 LED Lensed Troffer, Grid Mount, 35W or 48W",TF-131A14L
2357,"2x2 LED Lensed Troffer, Grid Mount, 28W or 35W",TF-131A22L
2362,Outdoor Incandescent Remote Emergency Light Head,BL-RH-WP
2365,2'x4' LED Troffer for Plaster Ceilings,TF-128A24L
2366,"1x4 Lensed Static Troffer 35W or 48W, F-Trim Plaster Ceiling Recessed",TF-128A14L
2370,"1'x4' LED Surface Mounted Troffer, 35W or 48W",TF-153A14L
2374,"2'x2' LED Surface Mounted Troffer, 24W-35W",TF-153A22L
2378,"2'x4' LED Surface Mounted Troffer, 35W-56W",TF-153A24L
2382,2-Gang Blank & Toggle Wall Plate,EN-880111
2383,"2-Foot 11.25""W x 3""D LED Specification Grade Wraparound (Prismatic Acrylic), 28 Watt",TF-200A224LS28W3300LDMV
2384,"1-Gang Phone/Cable 0.406"" Dia. Hole Wall Plate",EN-8661
